layer,count,mean,variance,std,min,max,zero_ratio,sample_count
DAB_Block_5.DAB_Module_5_0.conv3x1.conv,320000,-0.06801295827254653,0.06934848812259718,0.2633410110913171,-2.0626730918884277,1.7680054903030396,0.223475,1024
DAB_Block_5.DAB_Module_5_0.conv1x3.conv,320000,0.2557,0.24191751000000003,0.49185110551873323,0.0,4.0,0.76845,1024
DAB_Block_5.DAB_Module_5_0.dconv3x1.conv,320000,0.158625,0.21391310937500002,0.4625074154810926,0.0,7.0,0.873775,1024
DAB_Block_5.DAB_Module_5_0.dconv1x3.conv,320000,0.0,0.0,0.0,0.0,0.0,1.0,1024
DAB_Block_5.DAB_Module_5_0.ddconv3x1.conv,320000,0.158625,0.21391310937500002,0.4625074154810926,0.0,7.0,0.873775,1024
DAB_Block_5.DAB_Module_5_0.ddconv1x3.conv,320000,0.23195,0.48234919750000005,0.6945136409747472,0.0,8.0,0.866825,1024
DAB_Block_5.DAB_Module_5_0.conv1x1.conv,320000,0.5127,1.73538871,1.3173415312666643,0.0,14.0,0.789775,1024
upsample_2.conv,640000,0.498025,0.563021099375,0.7503473191629327,0.0,7.0,0.628875,1024
DAB_Block_6.DAB_Module_6_0.conv1x1_in.conv,2560000,0.297346875,0.27916296092773435,0.5283587426434186,0.0,4.0,0.735465625,1024
DAB_Block_6.DAB_Module_6_0.conv3x1.conv,1280000,-0.0025954966488294304,0.16212324643987083,0.40264531096222994,-2.1675190925598145,2.7868106365203857,0.1531875,1024
DAB_Block_6.DAB_Module_6_0.conv1x3.conv,1280000,0.29520625,0.28059701996093744,0.5297140926584241,0.0,4.0,0.738725,1024
DAB_Block_6.DAB_Module_6_0.dconv3x1.conv,1280000,0.3679125,0.35962789234375003,0.5996898301153273,0.0,3.0,0.69408125,1024
DAB_Block_6.DAB_Module_6_0.dconv1x3.conv,1280000,0.5796125,1.26457434984375,1.1245329474247299,0.0,8.0,0.73856875,1024
DAB_Block_6.DAB_Module_6_0.ddconv3x1.conv,1280000,0.3679125,0.35962789234375003,0.5996898301153273,0.0,3.0,0.69408125,1024
DAB_Block_6.DAB_Module_6_0.ddconv1x3.conv,1280000,0.2422875,0.48153426734375004,0.6939267017082928,0.0,6.0,0.86533125,1024
DAB_Block_6.DAB_Module_6_0.conv1x1.conv,1280000,0.98811875,3.6348150858984374,1.906519101897077,0.0,11.0,0.6156125,1024
upsample_3.conv,2560000,0.81296875,0.9980630615234376,0.999031061340656,0.0,7.0,0.494846875,1024
PA3.conv,0,nan,nan,nan,,,nan,0
LC1.dconv3x1,10240000,0.16140625,0.17071989746093752,0.41318264419132794,0.0,5.0,0.85486640625,1024
LC1.dconv1x3,5120000,-0.038318989203700235,0.1939940701826811,0.4404475793811122,-3.5692691802978516,2.878053665161133,0.0,1024
LC2.dconv3x1,2560000,0.10689375,0.1287237262109375,0.35878088885967363,0.0,7.0,0.907684375,1024
LC2.dconv1x3,1280000,0.017859447417997262,0.08973299672120666,0.2995546639950823,-2.6827926635742188,2.6637582778930664,0.0,1024
LC3.dconv3x1,40000,0.196975,0.226725849375,0.47615737878877823,0.0,6.0,0.8317,1024
LC3.dconv1x3,20000,0.008008220899268054,0.1793127941501263,0.4234534143800547,-1.8780951499938965,2.2791669368743896,0.0,1024
final_conv,10240000,0.320959375,0.3825538295996094,0.6185093609636069,0.0,6.0,0.7467609375,1024
classifier.0.conv,40960000,-0.3747630306982524,3.0232206523986123,1.7387411113787505,-9.845586776733398,10.625638961791992,0.0,1024
