variant,checkpoint_kind,precision,layer,op_type,mode,classification_source,calls,classifications,observed_input_shapes,observed_output_shapes,observed_time_slices,configured_timestep,input_elems,input_neuron_sites,input_firing_rate_sum,input_positive_sum,input_nonzero,input_min,input_max,integer_like_calls,mean_spike_count_per_input,configured_firing_rate,sop_density_per_executed_mac,nonzero_ratio,dense_macs_total,dense_macs_executed,dense_macs_one_step_equivalent,dense_macs_total_per_image,dense_macs_executed_per_image,dense_macs_one_step_equivalent_per_image,dense_macs_charged,dense_macs_charged_per_image,sop_total,sop_per_image,ac_charged,core_energy_pj,core_energy_pj_per_image,mem_energy_pj,neuron_energy_pj,total_energy_pj,total_energy_pj_per_image
small,fp,fp,downsample_2.conv,conv2d,spike,policy:small_middle_downsample_event_conv,20,"{""spike"": 20}","[[8, 1, 64, 200, 200]]","[[8, 1, 64, 200, 200]]",[8],8,409600000,51200000.0,20128328.0,161026624.0,131163696,0.0,8.0,20,0.39313140625,0.04914142578125,0.04914142578125,0.3202238671875,235929600000.0,235929600000.0,29491200000.0,11796480000.0,11796480000.0,1474560000.0,0.0,0.0,11593916928.0,579695846.4,11593916928.0,11593916928.0,579695846.4,0.0,0.0,11593916928.0,579695846.4
small,fp,fp,DAB_Block_2.DAB_Module_2_0.conv1x1_in.conv,conv2d,spike,policy:encoder_and_late_decoder_dab_convs,20,"{""spike"": 20}","[[8, 1, 64, 100, 100]]","[[8, 1, 32, 100, 100]]",[8],8,102400000,12800000.0,3276231.0,26209848.0,20503904,0.0,8.0,20,0.255955546875,0.031994443359375,0.031994443359375,0.2002334375,3276800000.0,3276800000.0,409600000.0,163840000.0,163840000.0,20480000.0,0.0,0.0,104839392.0,5241969.6,104839392.0,104839392.0,5241969.6,0.0,0.0,104839392.0,5241969.6
small,fp,fp,DAB_Block_2.DAB_Module_2_0.conv3x1.conv,conv2d,spike,policy:encoder_and_late_decoder_dab_convs,20,"{""spike"": 20}","[[8, 1, 32, 100, 100]]","[[8, 1, 32, 100, 100]]",[8],8,51200000,6400000.0,2332796.0,18662368.0,15378296,0.0,7.0,20,0.364499375,0.045562421875,0.045562421875,0.30035734375,4915200000.0,4915200000.0,614400000.0,245760000.0,245760000.0,30720000.0,0.0,0.0,223948416.0,11197420.8,223948416.0,223948416.0,11197420.8,0.0,0.0,223948416.0,11197420.8
small,fp,fp,DAB_Block_2.DAB_Module_2_0.conv1x3.conv,conv2d,spike,policy:encoder_and_late_decoder_dab_convs,20,"{""spike"": 20}","[[8, 1, 32, 100, 100]]","[[8, 1, 32, 100, 100]]",[8],8,51200000,6400000.0,1662393.0,13299144.0,11612488,0.0,6.0,20,0.25974890625,0.03246861328125,0.03246861328125,0.22680640625,4915200000.0,4915200000.0,614400000.0,245760000.0,245760000.0,30720000.0,0.0,0.0,159589728.0,7979486.4,159589728.0,159589728.0,7979486.4,0.0,0.0,159589728.0,7979486.4
small,fp,fp,DAB_Block_2.DAB_Module_2_0.dconv3x1.conv,conv2d,spike,policy:encoder_and_late_decoder_dab_convs,20,"{""spike"": 20}","[[8, 1, 32, 100, 100]]","[[8, 1, 32, 100, 100]]",[8],8,51200000,6400000.0,1256815.0,10054520.0,8980432,0.0,7.0,20,0.19637734375,0.02454716796875,0.02454716796875,0.1753990625,153600000.0,153600000.0,19200000.0,7680000.0,7680000.0,960000.0,0.0,0.0,3770445.0,188522.25,3770445.0,3770445.0,188522.25,0.0,0.0,3770445.0,188522.25
small,fp,fp,DAB_Block_2.DAB_Module_2_0.dconv1x3.conv,conv2d,spike,policy:encoder_and_late_decoder_dab_convs,20,"{""spike"": 20}","[[8, 1, 32, 100, 100]]","[[8, 1, 32, 100, 100]]",[8],8,51200000,6400000.0,42504.0,340032.0,315480,0.0,5.0,20,0.00664125,0.00083015625,0.00083015625,0.00616171875,153600000.0,153600000.0,19200000.0,7680000.0,7680000.0,960000.0,0.0,0.0,127512.0,6375.6,127512.0,127512.0,6375.6,0.0,0.0,127512.0,6375.6
small,fp,fp,DAB_Block_2.DAB_Module_2_0.ca11.conv,conv1d,dense,policy:eca_conv1d,20,"{""dense"": 20}","[[8, 1, 1, 32]]","[[8, 1, 1, 32]]",[8],8,5120,640.0,10.820399671792984,86.56319737434387,480,0.0,0.7285000085830688,0,,,,0.09375,15360.0,15360.0,1920.0,768.0,768.0,96.0,15360.0,768.0,0.0,0.0,0.0,15360.0,768.0,0.0,0.0,15360.0,768.0
small,fp,fp,DAB_Block_2.DAB_Module_2_0.ddconv3x1.conv,conv2d,spike,policy:encoder_and_late_decoder_dab_convs,20,"{""spike"": 20}","[[8, 1, 32, 100, 100]]","[[8, 1, 32, 100, 100]]",[8],8,51200000,6400000.0,1256815.0,10054520.0,8980432,0.0,7.0,20,0.19637734375,0.02454716796875,0.02454716796875,0.1753990625,153600000.0,153600000.0,19200000.0,7680000.0,7680000.0,960000.0,0.0,0.0,3770445.0,188522.25,3770445.0,3770445.0,188522.25,0.0,0.0,3770445.0,188522.25
small,fp,fp,DAB_Block_2.DAB_Module_2_0.ddconv1x3.conv,conv2d,spike,policy:encoder_and_late_decoder_dab_convs,20,"{""spike"": 20}","[[8, 1, 32, 100, 100]]","[[8, 1, 32, 100, 100]]",[8],8,51200000,6400000.0,465086.0,3720688.0,3056312,0.0,7.0,20,0.0726696875,0.0090837109375,0.0090837109375,0.05969359375,153600000.0,153600000.0,19200000.0,7680000.0,7680000.0,960000.0,0.0,0.0,1395258.0,69762.9,1395258.0,1395258.0,69762.9,0.0,0.0,1395258.0,69762.9
small,fp,fp,DAB_Block_2.DAB_Module_2_0.ca22.conv,conv1d,dense,policy:eca_conv1d,20,"{""dense"": 20}","[[8, 1, 1, 32]]","[[8, 1, 1, 32]]",[8],8,5120,640.0,81.20299744606018,649.6239795684814,1440,0.0,1.0713999271392822,0,,,,0.28125,15360.0,15360.0,1920.0,768.0,768.0,96.0,15360.0,768.0,0.0,0.0,0.0,15360.0,768.0,0.0,0.0,15360.0,768.0
small,fp,fp,DAB_Block_2.DAB_Module_2_0.conv1x1.conv,conv2d,spike,policy:encoder_and_late_decoder_dab_convs,20,"{""spike"": 20}","[[8, 1, 32, 100, 100]]","[[8, 1, 64, 100, 100]]",[8],8,51200000,6400000.0,1942387.0,15539096.0,11604016,0.0,10.0,20,0.30349796875,0.03793724609375,0.03793724609375,0.2266409375,3276800000.0,3276800000.0,409600000.0,163840000.0,163840000.0,20480000.0,0.0,0.0,124312768.0,6215638.4,124312768.0,124312768.0,6215638.4,0.0,0.0,124312768.0,6215638.4
small,fp,fp,downsample_3.conv3x3.conv,conv2d,dense,policy:small_middle_downsample_continuous_conv,20,"{""dense"": 20}","[[8, 1, 64, 100, 100]]","[[8, 1, 32, 50, 50]]",[8],8,102400000,12800000.0,2435657.0390625,19485256.3125,102400000,-10.88414478302002,7.319483757019043,0,,,,1.0,7372800000.0,7372800000.0,921600000.0,368640000.0,368640000.0,46080000.0,7372800000.0,368640000.0,0.0,0.0,0.0,7372800000.0,368640000.0,0.0,0.0,7372800000.0,368640000.0
