epoch,train_loss,miou,iou_background,iou_facade,iou_road,iou_vegetation,iou_vehicle,iou_roof,model_lr,quantizer_lr,train_batches,validation_batches,train_seconds,validation_seconds
1,0.8133415512907832,0.343120467428733,0.2504572156237247,0.102834450623737,0.26699590382565563,0.7690262937387649,0.1691160659618991,0.5002928747986168,0.0009940129676867249,9.94012967686725e-06,401,424,303.0713737644255,38.25144934654236
2,0.7474734633046195,0.38476593244232554,0.34393991024162496,0.34706518366020195,0.16088378432808634,0.812679434006351,0.15580243905277,0.48822484336491906,0.0009880069432915259,9.88006943291526e-06,401,424,297.08525801077485,36.87726312503219
3,0.7275378869061458,0.415313888348489,0.3423405148313009,0.3438527924687974,0.3280194089115445,0.7977625459961625,0.2177074630484117,0.4622006048347168,0.0009819968594364196,9.819968594364195e-06,401,424,296.9245146419853,36.91061094030738
4,0.7224853622943088,0.47074177020134833,0.31168460342806803,0.3878006833185426,0.4466207455054774,0.8100499720562281,0.26935484307539825,0.5989397738243755,0.0009759826857342084,9.759826857342084e-06,401,424,297.5103051699698,37.30677977204323
5,0.7119656671906944,0.39360991666893197,0.3040344174524699,0.23938541066558836,0.34474892434631194,0.7905704193110747,0.11342167353065544,0.5694986547074917,0.0009699643913604667,9.699643913604669e-06,401,424,297.9591780118644,37.1460288874805
6,0.7079754835203699,0.45932419576250316,0.3389757131324851,0.3467391029099673,0.4154129033978763,0.8245202720475252,0.280699071396231,0.549598111690934,0.0009639419450441902,9.639419450441903e-06,401,424,298.38291951827705,37.16717790067196
7,0.6926389553600416,0.32361154365504,0.28948799379999196,0.2877003784018554,0.15219402755570194,0.7442617979122552,0.15031934732024935,0.3177057169401864,0.0009579153150581766,9.579153150581766e-06,401,424,298.41261915676296,37.57641906477511
8,0.6904716725064037,0.46069047545978564,0.331919047060865,0.32963316484159405,0.3532233637004336,0.8408425520532352,0.3082350283384552,0.600289696764131,0.0009518844692091346,9.518844692091348e-06,401,424,298.49484591186047,37.19543891586363
9,0.6911591469795627,0.4473439412021958,0.33783731410025014,0.4110011706009955,0.3215389188785811,0.8117636508633358,0.21151523776664877,0.5904073550033638,0.0009458493748275042,9.458493748275043e-06,401,424,508.89388178661466,125.68417108431458
10,0.6926347718869065,0.4658185784189104,0.35205025599286294,0.4014861043749475,0.4421639886014303,0.8200006703534705,0.1561299567062228,0.6230804944845283,0.0009398099987569807,9.398099987569807e-06,401,424,299.18481127358973,38.440814001485705
11,0.6984700417875351,0.38181390859875425,0.31332067011572046,0.36078622507001507,0.1720174646726446,0.817540857098144,0.09206951257316873,0.535148722062833,0.0009337663073437344,9.337663073437344e-06,401,424,299.3346778936684,38.518271340057254
12,0.6941594152973775,0.4625115730776379,0.35600861741979006,0.3922803915291186,0.38343035975582734,0.8162236675120597,0.17689197658452152,0.6502344256645103,0.0009277182664253095,9.277182664253096e-06,401,424,298.9409993067384,38.54699993506074
