epoch,train_loss,miou,pixel_accuracy,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,lr,train_samples,optimizer_steps,validation_samples,train_seconds,validation_seconds,peak_memory_bytes
1,1.0514766989607756,0.3875121734282983,0.6410155188428874,0.30798408124921045,0.3112916082392469,0.37748105114829644,0.8068326636635282,0.0,0.5214836362695076,0.000999753526902683,25700,402,8478,1880.8742654118687,165.32650547474623,60274845184
2,0.8942687292321647,0.41482201931057183,0.6670403949929229,0.3555676733744159,0.31674233910176597,0.46210673340972475,0.7793646855413611,1.6505431978927844e-07,0.5751505193818435,0.0009990143508499208,25700,402,8478,1879.8269722089171,165.3099969495088,60274845184
3,0.8364640513282806,0.43199922766188975,0.687781245576787,0.35877949648256763,0.3362520523430683,0.4705903022216033,0.819708263057482,0.016902612689882704,0.5897626391767342,0.0009977832013192368,25700,402,8478,1879.8735175728798,165.14721913263202,60274845184
4,0.7967901191451671,0.4700669631365197,0.7079215653750884,0.38138340662078296,0.39343947705132337,0.4449972909467894,0.826212287574603,0.14249884163134421,0.631870474994275,0.0009960612933065805,25700,402,8478,1880.057809278369,165.22198402136564,60274845184
5,0.7509511441943246,0.4787336395791287,0.7212132585810332,0.3958173953051169,0.4226676773681506,0.4469491111241988,0.839683783476515,0.1168033618081076,0.6504805083926837,0.0009938503261272724,25700,402,8478,1880.2555617559701,165.25066814012825,60274845184
6,0.7137241845372122,0.509008032333622,0.7473989760261854,0.4261938037860175,0.45270008497642633,0.49685710123366433,0.8509188380648274,0.15292402066786515,0.6744543452729311,0.000991152481738982,25700,402,8478,1879.7412264719605,165.1230242997408,60274845184
7,0.6833401927873782,0.5142950583997301,0.7381645435244162,0.42419379415088915,0.4524473536617808,0.5092825984114344,0.8374906166222785,0.2028858001401953,0.6594701874118027,0.0009879704225884056,25700,402,8478,1880.1101007368416,165.1510059889406,60274845184
8,0.6660146221251804,0.5285677321414064,0.7543110956298655,0.4419915709845096,0.4593555806228717,0.4941317070494048,0.8541366238510018,0.22646920137461193,0.6953217089660387,0.0009843072889837517,25700,402,8478,1880.6290163937956,165.27661229483783,60274845184
9,0.6474506463707653,0.5456111858147245,0.7600312448395848,0.4298643922640292,0.48778377287246943,0.526590103212002,0.8536543956021185,0.2801756178851598,0.6955988330525673,0.0009801666959956311,25700,402,8478,1879.6479330807924,165.20021125674248,60274845184
10,0.6315830441764356,0.5316076564718917,0.7515502484371314,0.41391523275273584,0.4824552189126731,0.5226661467933652,0.8551525584387979,0.24664180040396774,0.6688149815298101,0.0009755527298894232,25700,402,8478,1879.6887522935867,165.0738350339234,60274845184
11,0.6103811780256057,0.5496803135656169,0.7738214275182826,0.45979420036150714,0.5153637340494953,0.5227373316557649,0.8605648813220407,0.2232669567869283,0.7163547772179647,0.00097046994409263,25700,402,8478,1880.418250206858,165.16620349511504,60274845184
12,0.6016372345022655,0.5656041959867159,0.7756936047711724,0.4637623433442258,0.5222431022812878,0.5030303048656641,0.8630772026721826,0.31223122333413533,0.7292809994227998,0.0009649233547011762,25700,402,8478,1880.8253534473479,165.19859991967678,60274845184
13,0.5938057650480753,0.5477763145484028,0.763807778220099,0.46077454782436716,0.5026721861308998,0.5250576691112967,0.8628305789908183,0.25617839810642085,0.6791445071266142,0.0009589184355291429,25700,402,8478,1882.5680663250387,165.19554990902543,60274845184
14,0.5787432687802073,0.5558840023065983,0.763111556381222,0.46098168277648593,0.5101397123163749,0.5419554036369645,0.862692392096378,0.28952581576603903,0.6700090072473475,0.0009524611127067714,25700,402,8478,1881.1040488500148,165.2439645472914,60274845184
15,0.5645466092959452,0.5634758733912185,0.7703936814401982,0.4737619338342418,0.5122290944364526,0.5442892494979557,0.8582660263047519,0.29634130553002946,0.6959676307438797,0.0009455577588320838,25700,402,8478,1882.1268248856068,165.1756690815091,60274845184
16,0.5563532588407687,0.5425715069743041,0.7457995539926869,0.4500019066413305,0.4729712552068435,0.5188760440067197,0.8658851596161077,0.3187221581168149,0.6289725182580084,0.0009382151866819039,25700,402,8478,1881.66047318466,165.24879877083004,60274845184
17,0.5485114775371922,0.5642094631018585,0.7702535636352913,0.46727514792514946,0.5149433991397907,0.5014607995597505,0.869753773816314,0.33533427950907385,0.6964893786610723,0.0009304406424884638,25700,402,8478,1881.341168122366,165.23328734189272,60274845184
18,0.5400046831531747,0.5922858069507274,0.7986744552075962,0.4870477661786292,0.5408750503408987,0.5690628402848302,0.8772001032445753,0.32743546991036404,0.7520936117450672,0.00092224179878825,25700,402,8478,1879.8683313056827,165.28087466582656,60274845184
19,0.5359180056816872,0.5899436244327427,0.7861141078379335,0.4913120394255874,0.535624098011458,0.5744782916078711,0.8681009680769799,0.3583979566919,0.71174839278266,0.000913626746850137,25700,402,8478,1880.00570528768,165.17097337543964,60274845184
20,0.5177603823016126,0.599143832269054,0.7885249771467328,0.4794500030975253,0.5366379962754545,0.5841197165016747,0.8719358202019353,0.40606001335826647,0.7166594441794679,0.00090460398869028,25700,402,8478,1881.209259275347,165.34879276528955,60274845184
21,0.5152113188890167,0.5937492155259082,0.7881653419143666,0.47717951912298734,0.5259698785497268,0.5355642362011478,0.8742974942102913,0.40062840793766374,0.7488557571336322,0.0008951824286816507,25700,402,8478,1883.2954693175852,165.28480068035424,60274845184
22,0.5104620431091071,0.6140760385108731,0.801580038039632,0.4977429510644393,0.5672815164914697,0.5537450503995561,0.874804937235672,0.4363348670062632,0.7545469088678387,0.0008853713647664997,25700,402,8478,1881.825624121353,165.27991344593465,60274845184
23,0.4988727369104378,0.5999530510045848,0.7894929199103562,0.47955509772281635,0.5423568943264018,0.5185810066255374,0.877601603038384,0.42628947085115415,0.7553342334632152,0.0008751804792804077,25700,402,8478,1883.0187528710812,165.84805849008262,60274845184
24,0.4901396856512077,0.6146167494956304,0.7986296119367775,0.49709722568587156,0.5577286401057494,0.5736017811267524,0.8615059561711749,0.4396257149037776,0.7581411789804569,0.0008646198293969877,25700,402,8478,1885.22020746395,165.79669004306197,60274845184
25,0.485257203560395,0.600363889972563,0.7994090543170559,0.5036373546331758,0.5501770249511105,0.567753230361704,0.8750387894745238,0.34748805387476567,0.758088886540098,0.0008536998372026741,25700,402,8478,1885.6672763433307,165.81533356755972,60274845184
26,0.48278377084880486,0.611000497071494,0.8019286388299127,0.5016900968013533,0.549284159474685,0.5467321395245129,0.8792399564793075,0.42855130689813486,0.7605053232509696,0.0008424312794113734,25700,402,8478,1886.660330394283,165.87569466792047,60274845184
27,0.46859030614103325,0.6167580965669515,0.8020130219391366,0.49485909379119297,0.5399605140929515,0.5619732550930883,0.8808986851688448,0.454314223031372,0.7685428082242591,0.0008308252767291582,25700,402,8478,1886.550013223663,165.90906989574432,60274845184
28,0.4715368717746512,0.6343985134518356,0.8146803557737674,0.5138994317987162,0.5812034053571783,0.6017737919864161,0.8811016460869957,0.4586662765612971,0.7697465289204102,0.0008188932828794656,25700,402,8478,1886.1764930207282,165.79053229652345,60274845184
29,0.4697064275082911,0.6181987487874547,0.7993939800070772,0.5003555351406457,0.5691971793365983,0.5362323200250665,0.8642064797787623,0.4677029366823851,0.7714980417612702,0.0008066470732996583,25700,402,8478,1887.0365507900715,165.70238589681685,60274845184
30,0.4590290087577434,0.6074659064198001,0.7918322548065582,0.5145317802804201,0.537698309431172,0.5681714378669174,0.8826936114109041,0.4266471772217964,0.7150531223075908,0.0007940987335200875,25700,402,8478,1885.0907067228109,165.80233216658235,60274845184
31,0.45861138553934805,0.6256709370093095,0.8182906168907761,0.5205921237028637,0.581366649061965,0.580172706433671,0.8842324797965088,0.39749142358045003,0.7901702394803981,0.0007812606472371377,25700,402,8478,1887.0338871367276,167.7029247507453,60274845184
32,0.455557169260218,0.6339176811078383,0.8177741315758433,0.519897081384271,0.5827613640349382,0.5964955929542068,0.878359832753202,0.4375500000808379,0.7884422154395743,0.0007681454840920071,25700,402,8478,1884.1611571181566,165.51431262865663,60274845184
33,0.4505510665099445,0.5942592128543162,0.7870016336400094,0.5113150934005489,0.5312052403006219,0.5190654081707345,0.8869663090685596,0.4064301744804291,0.7105730517050026,0.0007547661871673103,25700,402,8478,1884.6197367757559,165.69970886409283,60274845184
34,0.44574263143168347,0.6364885204096599,0.8184056506546356,0.5151535675298858,0.5666690017777323,0.6082545456542824,0.8850849989024082,0.4607254594177303,0.7830435491759206,0.0007411359602138068,25700,402,8478,1885.9237047210336,165.94546224735677,60274845184
35,0.43784533940400594,0.628432121861988,0.8113764205885822,0.5149993660502235,0.5755313328560312,0.5722848401457045,0.8842933846363908,0.4472555529386089,0.7762282545449695,0.0007272682546199041,25700,402,8478,1886.3454922605306,165.8168991059065,60274845184
36,0.4335053889946251,0.6448270727800507,0.8199370694739325,0.515451069645289,0.5794583422380051,0.6077064335773132,0.88575865240445,0.48916911114704237,0.7914188276682045,0.0007131767561367543,25700,402,8478,1887.1344022098929,165.9572173524648,60274845184
37,0.4269496832422709,0.6428488284303032,0.8216233494043407,0.5294321753298318,0.5811041878104415,0.6184741226882307,0.8788181904705991,0.45273479409398365,0.796529500188733,0.0006988753713720739,25700,402,8478,1886.9318525530398,165.97471425309777,60274845184
38,0.4225240279774721,0.6431675861686115,0.8201715299893843,0.5275611492307486,0.5767751047235683,0.590567458259376,0.8820189884930162,0.48680862180404433,0.7952741945009154,0.0006843782140659987,25700,402,8478,1887.2710502203554,165.97413522563875,60274845184
39,0.4198673030513734,0.6430943888996491,0.8214913592533617,0.5263266287787565,0.5849963520000587,0.5821578353772114,0.8860695984363576,0.4763024583831637,0.8027134604223473,0.0006696995911625256,25700,402,8478,1887.1478163283318,165.8356156628579,60274845184
40,0.41500833202428855,0.6164737427364851,0.8187861133227177,0.5155139518792202,0.5854407531024729,0.5756365493559601,0.8839369875514205,0.3302592025061017,0.8080550120237354,0.0006548539886902894,25700,402,8478,1887.4573780689389,165.79034741222858,60274845184
41,0.4059435878885395,0.6453142485539821,0.8230966184536447,0.5319631425705242,0.5867542041021563,0.5999517092739579,0.8819132373271772,0.4687275765441573,0.8025756215059197,0.000639856057466596,25700,402,8478,1887.1554542817175,165.91136783361435,60274845184
