layer,stage,disagreement_qad_mean,disagreement_ste_mean,disagreement_qad_minus_ste,disagreement_qad_minus_ste_cluster_bootstrap_95ci,disagreement_relative_reduction_fraction,disagreement_relative_reduction_cluster_bootstrap_95ci,disagreement_paired_effect_dz,disagreement_qad_lower_source_count,disagreement_qad_higher_source_count,disagreement_equal_source_count,disagreement_source_count,disagreement_two_sided_exact_sign_p,mae_qad_mean,mae_ste_mean,mae_qad_minus_ste,mae_qad_minus_ste_cluster_bootstrap_95ci,mae_relative_reduction_fraction,mae_relative_reduction_cluster_bootstrap_95ci,mae_paired_effect_dz,mae_qad_lower_source_count,mae_qad_higher_source_count,mae_equal_source_count,mae_source_count,mae_two_sided_exact_sign_p,signed_error_qad_mean,signed_error_ste_mean,signed_error_qad_minus_ste,signed_error_qad_minus_ste_cluster_bootstrap_95ci,signed_error_relative_reduction_fraction,signed_error_relative_reduction_cluster_bootstrap_95ci,signed_error_paired_effect_dz,signed_error_qad_lower_source_count,signed_error_qad_higher_source_count,signed_error_equal_source_count,signed_error_source_count,signed_error_two_sided_exact_sign_p,zero_delta_qad_mean,zero_delta_ste_mean,zero_delta_qad_minus_ste,zero_delta_qad_minus_ste_cluster_bootstrap_95ci,zero_delta_relative_reduction_fraction,zero_delta_relative_reduction_cluster_bootstrap_95ci,zero_delta_paired_effect_dz,zero_delta_qad_lower_source_count,zero_delta_qad_higher_source_count,zero_delta_equal_source_count,zero_delta_source_count,zero_delta_two_sided_exact_sign_p
DAB_Block_4.DAB_Module_4_0.conv1x1.bn_prelu.acti,decoder_4,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0
DAB_Block_4.DAB_Module_4_0.conv1x1_in.bn_prelu.acti,decoder_4,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0
DAB_Block_4.DAB_Module_4_0.conv1x3.bn_prelu.acti,decoder_4,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0
DAB_Block_4.DAB_Module_4_0.conv3x1.bn_prelu.acti,decoder_4,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0
DAB_Block_4.DAB_Module_4_0.dconv1x3.bn_prelu.acti,decoder_4,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0
DAB_Block_4.DAB_Module_4_0.dconv3x1.bn_prelu.acti,decoder_4,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0
DAB_Block_4.DAB_Module_4_0.ddconv1x3.bn_prelu.acti,decoder_4,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0
DAB_Block_4.DAB_Module_4_0.ddconv3x1.bn_prelu.acti,decoder_4,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0
DAB_Block_5.DAB_Module_5_0.bn_relu.acti,decoder_5,0.2666725,0.2617446875,0.004927812499999962,"[0.004927812499999962, 0.004927812499999962]",-0.01882679089714079,"[-0.01882679089714079, -0.01882679089714079]",inf,0,1,0,1,1.0,0.4146603125,0.35946125,0.05519906250000001,"[0.05519906250000001, 0.05519906250000001]",-0.15356053677552173,"[-0.15356053677552173, -0.15356053677552173]",inf,0,1,0,1,1.0,0.1215671875,0.027941875,0.0936253125,"[0.0936253125, 0.0936253125]",-3.3507168899724875,"[-3.3507168899724875, -3.3507168899724875]",inf,0,1,0,1,1.0,0.013648125,0.0103890625,0.0032590625,"[0.0032590625, 0.0032590625]",-0.31370130846743866,"[-0.31370130846743866, -0.31370130846743866]",inf,0,1,0,1,1.0
DAB_Block_5.DAB_Module_5_0.ca11.neuron,decoder_5,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0
DAB_Block_5.DAB_Module_5_0.ca22.neuron,decoder_5,0.140371875,0.12915125,0.011220625000000012,"[0.011220625000000012, 0.011220625000000012]",-0.0868797243541972,"[-0.0868797243541972, -0.0868797243541972]",inf,0,1,0,1,1.0,0.240404375,0.210585625,0.029818750000000005,"[0.029818750000000005, 0.029818750000000005]",-0.14159917135844388,"[-0.14159917135844388, -0.14159917135844388]",inf,0,1,0,1,1.0,0.052153125,-0.014875625,0.06702875,"[0.06702875, 0.06702875]",4.505945128355951,"[4.505945128355951, 4.505945128355951]",inf,0,1,0,1,1.0,-0.005800625,0.010599375,-0.016399999999999998,"[-0.016399999999999998, -0.016399999999999998]",1.5472610413349843,"[1.5472610413349843, 1.5472610413349843]",inf,1,0,0,1,1.0
DAB_Block_5.DAB_Module_5_0.conv1x1.bn_prelu.acti,decoder_5,0.1564465625,0.1336771875,0.02276937500000001,"[0.02276937500000001, 0.02276937500000001]",-0.17033104470424326,"[-0.17033104470424326, -0.17033104470424326]",inf,0,1,0,1,1.0,0.1922484375,0.1582115625,0.034036874999999994,"[0.034036874999999994, 0.034036874999999994]",-0.21513519278971782,"[-0.21513519278971782, -0.21513519278971782]",inf,0,1,0,1,1.0,0.0139515625,-0.0437040625,0.057655625,"[0.057655625, 0.057655625]",1.3192280465917785,"[1.3192280465917785, 1.3192280465917785]",inf,0,1,0,1,1.0,-0.003966875,0.018123125,-0.02209,"[-0.02209, -0.02209]",1.218884712211608,"[1.218884712211608, 1.218884712211608]",inf,1,0,0,1,1.0
DAB_Block_5.DAB_Module_5_0.conv1x1_in.bn_prelu.acti,decoder_5,0.257759375,0.2441775,0.013581875000000021,"[0.013581875000000021, 0.013581875000000021]",-0.05562295870831678,"[-0.05562295870831678, -0.05562295870831678]",inf,0,1,0,1,1.0,0.29464125,0.27341375,0.02122750000000001,"[0.02122750000000001, 0.02122750000000001]",-0.07763874347943368,"[-0.07763874347943368, -0.07763874347943368]",inf,0,1,0,1,1.0,-0.01139375,-0.011585,0.00019125000000000045,"[0.00019125000000000045, 0.00019125000000000045]",0.016508416055243887,"[0.016508416055243887, 0.016508416055243887]",inf,0,1,0,1,1.0,0.01787375,0.007418125,0.010455625,"[0.010455625, 0.010455625]",-1.4094700480242648,"[-1.4094700480242648, -1.4094700480242648]",inf,0,1,0,1,1.0
