feature_index,normalized_mse_qad_mean,normalized_mse_ste_mean,normalized_mse_qad_minus_ste,normalized_mse_qad_minus_ste_cluster_bootstrap_95ci,normalized_mse_relative_reduction_fraction,normalized_mse_relative_reduction_cluster_bootstrap_95ci,normalized_mse_paired_effect_dz,normalized_mse_qad_lower_source_count,normalized_mse_qad_higher_source_count,normalized_mse_equal_source_count,normalized_mse_source_count,normalized_mse_two_sided_exact_sign_p,cosine_distance_qad_mean,cosine_distance_ste_mean,cosine_distance_qad_minus_ste,cosine_distance_qad_minus_ste_cluster_bootstrap_95ci,cosine_distance_relative_reduction_fraction,cosine_distance_relative_reduction_cluster_bootstrap_95ci,cosine_distance_paired_effect_dz,cosine_distance_qad_lower_source_count,cosine_distance_qad_higher_source_count,cosine_distance_equal_source_count,cosine_distance_source_count,cosine_distance_two_sided_exact_sign_p,mse_qad_mean,mse_ste_mean,mse_qad_minus_ste,mse_qad_minus_ste_cluster_bootstrap_95ci,mse_relative_reduction_fraction,mse_relative_reduction_cluster_bootstrap_95ci,mse_paired_effect_dz,mse_qad_lower_source_count,mse_qad_higher_source_count,mse_equal_source_count,mse_source_count,mse_two_sided_exact_sign_p,mae_qad_mean,mae_ste_mean,mae_qad_minus_ste,mae_qad_minus_ste_cluster_bootstrap_95ci,mae_relative_reduction_fraction,mae_relative_reduction_cluster_bootstrap_95ci,mae_paired_effect_dz,mae_qad_lower_source_count,mae_qad_higher_source_count,mae_equal_source_count,mae_source_count,mae_two_sided_exact_sign_p
1,0.8712599800364927,0.938424643754548,-0.0671646637180553,"[-0.0671646637180553, -0.0671646637180553]",0.0715717177346663,"[0.0715717177346663, 0.0715717177346663]",inf,1,0,0,1,1.0,0.4522910035153914,0.45164887002841336,0.0006421334869780582,"[0.0006421334869780582, 0.0006421334869780582]",-0.0014217537773041728,"[-0.0014217537773041728, -0.0014217537773041728]",inf,0,1,0,1,1.0,0.2725277734375,0.29353669921875,-0.021008925781249965,"[-0.021008925781249965, -0.021008925781249965]",0.07157171773466613,"[0.07157171773466613, 0.07157171773466613]",inf,1,0,0,1,1.0,0.2430802734375,0.25307001953125,-0.00998974609375003,"[-0.00998974609375003, -0.00998974609375003]",0.03947423765270014,"[0.03947423765270014, 0.03947423765270014]",inf,1,0,0,1,1.0
2,0.8869169929387813,0.9577958619866694,-0.0708788690478881,"[-0.0708788690478881, -0.0708788690478881]",0.0740020622984009,"[0.0740020622984009, 0.0740020622984009]",inf,1,0,0,1,1.0,0.476626709811516,0.49700427313932805,-0.020377563327812043,"[-0.020377563327812043, -0.020377563327812043]",0.041000780937147964,"[0.041000780937147964, 0.041000780937147964]",inf,1,0,0,1,1.0,0.153295703125,0.165546484375,-0.012250781250000009,"[-0.012250781250000009, -0.012250781250000009]",0.07400206229840095,"[0.07400206229840095, 0.07400206229840095]",inf,1,0,0,1,1.0,0.131554609375,0.136511171875,-0.004956562500000011,"[-0.004956562500000011, -0.004956562500000011]",0.03630884148103729,"[0.03630884148103729, 0.03630884148103729]",inf,1,0,0,1,1.0
3,0.7529969983406977,0.935095176836885,-0.18209817849618737,"[-0.18209817849618737, -0.18209817849618737]",0.1947375871536037,"[0.1947375871536037, 0.1947375871536037]",inf,1,0,0,1,1.0,0.3933284801700839,0.42301290300949124,-0.02968442283940731,"[-0.02968442283940731, -0.02968442283940731]",0.07017379996737658,"[0.07017379996737658, 0.07017379996737658]",inf,1,0,0,1,1.0,0.252428125,0.313473125,-0.061045000000000016,"[-0.061045000000000016, -0.061045000000000016]",0.19473758715360373,"[0.19473758715360373, 0.19473758715360373]",inf,1,0,0,1,1.0,0.213773125,0.248995625,-0.03522249999999999,"[-0.03522249999999999, -0.03522249999999999]",0.14145830875542487,"[0.14145830875542487, 0.14145830875542487]",inf,1,0,0,1,1.0
4,0.663012207393698,0.7817543391529338,-0.11874213175923576,"[-0.11874213175923576, -0.11874213175923576]",0.15189187422726458,"[0.15189187422726458, 0.15189187422726458]",inf,1,0,0,1,1.0,0.35830886005093454,0.3540608295827742,0.0042480304681603576,"[0.0042480304681603576, 0.0042480304681603576]",-0.011998024387973793,"[-0.011998024387973793, -0.011998024387973793]",inf,0,1,0,1,1.0,0.2919628125,0.344251875,-0.05228906249999998,"[-0.05228906249999998, -0.05228906249999998]",0.15189187422726452,"[0.15189187422726452, 0.15189187422726452]",inf,1,0,0,1,1.0,0.2527846875,0.273516875,-0.0207321875,"[-0.0207321875, -0.0207321875]",0.07579856818706342,"[0.07579856818706342, 0.07579856818706342]",inf,1,0,0,1,1.0
5,0.5052670733988187,0.56785642264479,-0.06258934924597126,"[-0.06258934924597126, -0.06258934924597126]",0.11022037745819888,"[0.11022037745819888, 0.11022037745819888]",inf,1,0,0,1,1.0,0.26744123604850367,0.29444073947239147,-0.026999503423887794,"[-0.026999503423887794, -0.026999503423887794]",0.09169758054632053,"[0.09169758054632053, 0.09169758054632053]",inf,1,0,0,1,1.0,0.377789375,0.424587578125,-0.04679820312499999,"[-0.04679820312499999, -0.04679820312499999]",0.11022037745819886,"[0.11022037745819886, 0.11022037745819886]",inf,1,0,0,1,1.0,0.313685625,0.304072734375,0.009612890625000037,"[0.009612890625000037, 0.009612890625000037]",-0.03161378689463445,"[-0.03161378689463445, -0.03161378689463445]",inf,0,1,0,1,1.0
6,0.17087990917332288,1.1775030117397396,-1.0066231025664167,"[-1.0066231025664167, -1.0066231025664167]",0.8548794292077004,"[0.8548794292077004, 0.8548794292077004]",inf,1,0,0,1,1.0,0.08829299585820594,0.1870880193257859,-0.09879502346757996,"[-0.09879502346757996, -0.09879502346757996]",0.5280670767888304,"[0.5280670767888304, 0.5280670767888304]",inf,1,0,0,1,1.0,0.7433203466796875,5.1220880859375,-4.378767739257813,"[-4.378767739257813, -4.378767739257813]",0.8548794292077004,"[0.8548794292077004, 0.8548794292077004]",inf,1,0,0,1,1.0,0.3858559161376953,0.9952507604980468,-0.6093948443603515,"[-0.6093948443603515, -0.6093948443603515]",0.6123028170864155,"[0.6123028170864155, 0.6123028170864155]",inf,1,0,0,1,1.0
