stage,layer_count,disagreement_qad_mean,disagreement_ste_mean,disagreement_qad_minus_ste,disagreement_qad_minus_ste_cluster_bootstrap_95ci,disagreement_relative_reduction_fraction,disagreement_relative_reduction_cluster_bootstrap_95ci,disagreement_paired_effect_dz,disagreement_qad_lower_source_count,disagreement_qad_higher_source_count,disagreement_equal_source_count,disagreement_source_count,disagreement_two_sided_exact_sign_p,mae_qad_mean,mae_ste_mean,mae_qad_minus_ste,mae_qad_minus_ste_cluster_bootstrap_95ci,mae_relative_reduction_fraction,mae_relative_reduction_cluster_bootstrap_95ci,mae_paired_effect_dz,mae_qad_lower_source_count,mae_qad_higher_source_count,mae_equal_source_count,mae_source_count,mae_two_sided_exact_sign_p,signed_error_qad_mean,signed_error_ste_mean,signed_error_qad_minus_ste,signed_error_qad_minus_ste_cluster_bootstrap_95ci,signed_error_relative_reduction_fraction,signed_error_relative_reduction_cluster_bootstrap_95ci,signed_error_paired_effect_dz,signed_error_qad_lower_source_count,signed_error_qad_higher_source_count,signed_error_equal_source_count,signed_error_source_count,signed_error_two_sided_exact_sign_p,zero_delta_qad_mean,zero_delta_ste_mean,zero_delta_qad_minus_ste,zero_delta_qad_minus_ste_cluster_bootstrap_95ci,zero_delta_relative_reduction_fraction,zero_delta_relative_reduction_cluster_bootstrap_95ci,zero_delta_paired_effect_dz,zero_delta_qad_lower_source_count,zero_delta_qad_higher_source_count,zero_delta_equal_source_count,zero_delta_source_count,zero_delta_two_sided_exact_sign_p
decoder_4,13,0.048924326923076925,0.04203086538461539,0.006893461538461536,"[0.006893461538461536, 0.006893461538461536]",-0.16400950766492564,"[-0.16400950766492564, -0.16400950766492564]",inf,0,1,0,1,1.0,0.05532161057692308,0.045806298076923074,0.009515312500000005,"[0.009515312500000005, 0.009515312500000005]",-0.20772934944493493,"[-0.20772934944493493, -0.20772934944493493]",inf,0,1,0,1,1.0,0.0088696875,0.0014883653846153844,0.007381322115384616,"[0.007381322115384616, 0.007381322115384616]",-4.9593481491052405,"[-4.9593481491052405, -4.9593481491052405]",inf,0,1,0,1,1.0,-0.004010600961538461,0.00020841346153846154,-0.0042190144230769226,"[-0.0042190144230769226, -0.0042190144230769226]",20.243483275663202,"[20.243483275663202, 20.243483275663202]",inf,1,0,0,1,1.0
decoder_5,13,0.15411089543269232,0.1436084795673077,0.010502415865384612,"[0.010502415865384612, 0.010502415865384612]",-0.07313228227907145,"[-0.07313228227907145, -0.07313228227907145]",inf,0,1,0,1,1.0,0.2011956009615385,0.18177054687500002,0.019425054086538468,"[0.019425054086538468, 0.019425054086538468]",-0.10686579547948816,"[-0.10686579547948816, -0.10686579547948816]",inf,0,1,0,1,1.0,0.0168565625,-0.014502578125,0.031359140625,"[0.031359140625, 0.031359140625]",2.1623148901326807,"[2.1623148901326807, 2.1623148901326807]",inf,0,1,0,1,1.0,0.0019135697115384607,0.011321231971153846,-0.009407662259615385,"[-0.009407662259615385, -0.009407662259615385]",0.830975134471745,"[0.830975134471745, 0.830975134471745]",inf,1,0,0,1,1.0
decoder_6,13,0.24631358774038462,0.22656416015624994,0.01974942758413467,"[0.01974942758413467, 0.01974942758413467]",-0.0871692485277216,"[-0.0871692485277216, -0.0871692485277216]",inf,0,1,0,1,1.0,0.34174673828125,0.2936709630408654,0.048075775240384644,"[0.048075775240384644, 0.048075775240384644]",-0.16370626071633348,"[-0.16370626071633348, -0.16370626071633348]",inf,0,1,0,1,1.0,0.05158098407451923,-0.009565085637019228,0.06114606971153846,"[0.06114606971153846, 0.06114606971153846]",6.392631705762065,"[6.392631705762065, 6.392631705762065]",inf,0,1,0,1,1.0,0.010033665865384614,0.010248605769230769,-0.00021493990384615497,"[-0.00021493990384615497, -0.00021493990384615497]",0.020972599462403534,"[0.020972599462403534, 0.020972599462403534]",inf,1,0,0,1,1.0
encoder_1,12,0.1516967220052083,0.11872449869791668,0.03297222330729163,"[0.03297222330729163, 0.03297222330729163]",-0.277720467712282,"[-0.277720467712282, -0.277720467712282]",inf,0,1,0,1,1.0,0.18340495768229167,0.13432497558593753,0.04907998209635414,"[0.04907998209635414, 0.04907998209635414]",-0.365382401018596,"[-0.365382401018596, -0.365382401018596]",inf,0,1,0,1,1.0,0.06867670247395834,-0.007926560872395834,0.07660326334635417,"[0.07660326334635417, 0.07660326334635417]",9.664123518324857,"[9.664123518324857, 9.664123518324857]",inf,0,1,0,1,1.0,-0.0284080908203125,0.01325365071614583,-0.04166174153645833,"[-0.04166174153645833, -0.04166174153645833]",3.1434162879896377,"[3.1434162879896377, 3.1434162879896377]",inf,1,0,0,1,1.0
encoder_2,12,0.0595736328125,0.05054338541666666,0.009030247395833337,"[0.009030247395833337, 0.009030247395833337]",-0.17866328741912124,"[-0.17866328741912124, -0.17866328741912124]",inf,0,1,0,1,1.0,0.06383304036458333,0.05295380208333334,0.010879238281249988,"[0.010879238281249988, 0.010879238281249988]",-0.20544772713636958,"[-0.20544772713636958, -0.20544772713636958]",inf,0,1,0,1,1.0,0.012165696614583334,-0.0022414062500000003,0.014407102864583334,"[0.014407102864583334, 0.014407102864583334]",6.427707098873009,"[6.427707098873009, 6.427707098873009]",inf,0,1,0,1,1.0,-0.0074128971354166665,0.003601061197916667,-0.011013958333333334,"[-0.011013958333333334, -0.011013958333333334]",3.0585312850848725,"[3.0585312850848725, 3.0585312850848725]",inf,1,0,0,1,1.0
encoder_3,12,0.12108270833333334,0.10183739583333334,0.0192453125,"[0.0192453125, 0.0192453125]",-0.18898079966122464,"[-0.18898079966122464, -0.18898079966122464]",inf,0,1,0,1,1.0,0.14054822916666668,0.11075510416666667,0.029793125000000004,"[0.029793125000000004, 0.029793125000000004]",-0.2690000178697558,"[-0.2690000178697558, -0.2690000178697558]",inf,0,1,0,1,1.0,0.033683125,-0.005153125,0.03883625,"[0.03883625, 0.03883625]",7.536446331109764,"[7.536446331109764, 7.536446331109764]",inf,0,1,0,1,1.0,-0.010979635416666666,0.010745885416666665,-0.02172552083333333,"[-0.02172552083333333, -0.02172552083333333]",2.021752511862583,"[2.021752511862583, 2.021752511862583]",inf,1,0,0,1,1.0
stem,3,0.14546849690755212,0.11526282226562501,0.03020567464192711,"[0.03020567464192711, 0.03020567464192711]",-0.2620591275504052,"[-0.2620591275504052, -0.2620591275504052]",inf,0,1,0,1,1.0,0.15546488118489585,0.11818887939453127,0.03727600179036458,"[0.03727600179036458, 0.03727600179036458]",-0.31539347848397814,"[-0.31539347848397814, -0.31539347848397814]",inf,0,1,0,1,1.0,0.06501003092447917,-0.00142527099609375,0.06643530192057293,"[0.06643530192057293, 0.06643530192057293]",46.61240009980742,"[46.61240009980742, 46.61240009980742]",inf,0,1,0,1,1.0,-0.02261407389322917,0.005473094075520833,-0.028087167968750004,"[-0.028087167968750004, -0.028087167968750004]",5.131862814924693,"[5.131862814924693, 5.131862814924693]",inf,1,0,0,1,1.0
