effective_batch,images_per_second,input_residency,loss,method,mode,peak_allocated_bytes,peak_reserved_bytes,phase_backward_seconds,phase_bptt_backward_seconds,phase_host_to_device_seconds,phase_loss_seconds,phase_optimizer_step_seconds,phase_snn_forward_seconds,phase_student_forward_seconds,phase_teacher_forward_seconds,physical_batch,round,seconds_per_image,steady_allocated_bytes,time_steps,trial,wall_seconds
4,50.10744361367602,gpu,1.6164864301681519,qad,matched,3271757824,4324327424,0.02124185562133789,,,0.00041436800360679626,0.002548352003097534,,0.03824771118164062,0.013853695869445801,4,0,0.0199571147095412,56467456,1,0,0.0798284588381648
4,46.82546313502155,gpu,1.4491370916366577,qad,matched,3271757824,4324327424,0.028492799758911135,,,0.000393887996673584,0.002415168046951294,,0.037727455139160156,0.012891136169433593,4,0,0.02135590196121484,56467456,1,1,0.08542360784485936
4,46.05202298078851,gpu,1.309687852859497,qad,matched,3271757824,4324327424,0.0301711368560791,,,0.0003775039911270142,0.002397279977798462,,0.03767311859130859,0.012781439781188965,4,0,0.02171457267832011,56467456,1,2,0.08685829071328044
4,11.039318415210882,gpu,2.279505968093872,squat,matched,15115188224,20786970624,,0.21443942260742188,,0.00010214400291442871,0.0027224318981170655,0.142935546875,,,4,0,0.09058530267793685,45798912,8,0,0.3623412107117474
4,11.09237185144453,gpu,2.2882070541381836,squat,matched,15115188224,20786970624,,0.21357260131835937,,0.00010192000120878219,0.0025376639366149903,0.14211260986328125,,,4,0,0.09015204443130642,45798912,8,1,0.3606081777252257
4,11.147162750106084,gpu,2.2403876781463623,squat,matched,15115188224,20786970624,,0.2134886474609375,,0.000100832000374794,0.0024683520793914795,0.1405659484863281,,,4,0,0.08970892615616322,45798912,8,2,0.35883570462465286
64,110.80529966821686,cpu,0.9840570688247681,qad,capacity,25774403584,31616663552,0.19584611511230468,,0.0037393920421600344,0.0026080960035324095,0.00259932804107666,,0.2361736297607422,0.1302206039428711,32,0,0.009024839091580361,43987456,1,0,0.5775897018611431
64,110.2930518266856,cpu,0.8955105543136597,qad,capacity,25774403584,31616663552,0.19932672119140626,,0.003693343997001648,0.0025957759618759155,0.0023968000411987303,,0.23549366760253906,0.1302241973876953,32,0,0.009066754282684997,43987456,1,1,0.5802722740918398
64,109.52216306299854,cpu,0.7862788438796997,qad,capacity,25774403584,31616663552,0.20353023529052733,,0.00368668794631958,0.0025989439487457276,0.0024028799533843993,,0.23545475769042967,0.1302961959838867,32,0,0.00913057204161305,43987456,1,2,0.5843566106632352
64,10.988832586368533,cpu,2.2798590660095215,squat,capacity,15120453120,20791164928,,3.475923950195312,0.0043272959887981416,0.001624448031187058,0.003108351945877075,2.304702087402344,,,4,0,0.09100147737626685,32998912,8,0,5.824094552081078
64,10.993826431031756,cpu,2.292635679244995,squat,capacity,15120453120,20791164928,,3.4825666351318363,0.004297056019306182,0.0016283520311117178,0.0031173439025878906,2.296591049194336,,,4,0,0.09096014079113957,32998912,8,1,5.821449010632932
64,11.009374263832356,cpu,2.213411808013916,squat,capacity,15120453120,20791164928,,3.476939193725586,0.004317471981048583,0.001622528031468392,0.0031040000915527346,2.291838012695312,,,4,0,0.09083168362121796,32998912,8,2,5.81322775175795
4,60.23828308786455,gpu,1.4941853284835815,qif_ste,qad_ablation,2651243520,3705667584,0.02051481628417969,,,0.00010396800190210343,0.0025550720691680908,,0.04114575958251953,,4,0,0.016600738745182753,51081216,1,0,0.06640295498073101
4,64.08745540730682,gpu,1.1014715433120728,qif_ste,qad_ablation,2651243520,3705667584,0.019493408203125,,,0.0001016639992594719,0.002396415948867798,,0.03822604751586914,,4,0,0.015603677718900144,51081216,1,1,0.062414710875600576
4,59.35205245451349,gpu,1.9222158193588257,squat,timestep_ablation,2582440448,3930062848,,0.02659328079223633,,0.00016438399255275726,0.002609760046005249,0.03590889739990234,,,4,0,0.016848617000505328,45798912,1,0,0.06739446800202131
4,63.35144664056189,gpu,1.9358620643615723,squat,timestep_ablation,2582440448,3930062848,,0.025435136795043944,,0.00014902399480342865,0.0024466559886932374,0.032895038604736325,,,4,0,0.01578495919238776,45798912,1,1,0.06313983676955104
4,41.7863650033308,gpu,1.7668185234069824,squat,timestep_ablation,4497808384,5976883200,,0.044955646514892575,,0.00010396800190210343,0.002563424110412598,0.045906017303466794,,,4,0,0.023931251256726682,47662592,2,0,0.09572500502690673
4,43.5824779001922,gpu,1.7215943336486816,squat,timestep_ablation,4497808384,5976883200,,0.04403753662109375,,0.00010252799838781357,0.0024063680171966554,0.042932319641113284,,,4,0,0.02294500102289021,47662592,2,1,0.09178000409156084
4,23.16168366122083,gpu,1.8905292749404907,squat,timestep_ablation,8304937984,12002000896,,0.09039667510986328,,0.00010000000149011611,0.0025695359706878664,0.07757603454589844,,,4,0,0.043174754246138036,45798912,4,0,0.17269901698455215
4,23.616133568897858,gpu,1.9040848016738892,squat,timestep_ablation,8304937984,12002000896,,0.08941363525390625,,9.993600100278855e-05,0.0024434239864349365,0.07524169921875,,,4,0,0.042343933950178325,45798912,4,1,0.1693757358007133
4,10.931438191160156,gpu,2.3201305866241455,squat,timestep_ablation,15115188224,20786970624,,0.21500160217285155,,9.993600100278855e-05,0.0026506240367889402,0.1460091552734375,,,4,0,0.09147927130106837,45798912,8,0,0.36591708520427346
4,11.060716584371454,gpu,2.2791287899017334,squat,timestep_ablation,15115188224,20786970624,,0.21423974609375,,0.00010204800218343735,0.0025001599788665773,0.14256924438476562,,,4,0,0.09041005547624081,45798912,8,1,0.36164022190496325
