epoch,train_loss,miou,iou_background,iou_facade,iou_road,iou_vegetation,iou_vehicle,iou_roof,model_lr,quantizer_lr,train_batches,validation_batches,train_seconds,validation_seconds
1,0.6213094358729603,0.49991492779259805,0.36944019774375236,0.3080712839380261,0.5295748207478067,0.8356809417747809,0.2965900271011842,0.6601322954500382,0.0009940129676867249,0.0009940129676867249,401,424,183.8406545072794,34.14302215538919
2,0.5767005007165923,0.5579443275300001,0.44535745269701354,0.48832148551757204,0.48212831290115166,0.8494227401396852,0.350120471467026,0.7323155024575522,0.0009880069432915259,0.0009880069432915259,401,424,178.64379543624818,32.94978082552552
3,0.561005312605689,0.5438040992732879,0.36531316600879743,0.47193787529593734,0.49930021304254885,0.8389945956105462,0.38767655739241547,0.6996021882894821,0.0009819968594364196,0.0009819968594364196,401,424,178.90652883984149,32.93500134721398
4,0.555992366072543,0.5250594324761007,0.40391453341885714,0.2881847670398894,0.5175734804268797,0.857158094564627,0.35593348299722105,0.7275922364091298,0.0009759826857342084,0.0009759826857342084,401,424,180.32054847292602,33.96640465594828
5,0.5449153905794805,0.5592038606057277,0.42488934633508413,0.44853850560121117,0.5581531107348805,0.8602144654247369,0.3165687217238232,0.7468590138146305,0.0009699643913604667,0.0009699643913604667,401,424,179.64450864121318,32.66414879821241
6,0.5437616106132022,0.5415359479977769,0.4201186314763017,0.48624771971569897,0.4452860513892456,0.8563134369811992,0.3414447024700322,0.699805145954184,0.0009639419450441902,0.0009639419450441902,401,424,178.34639815799892,32.79829041287303
7,0.5474591825965635,0.5537427084527679,0.43067832491118213,0.47042314016116593,0.5261526223806631,0.8499137673248733,0.3355463939304833,0.7097420020082389,0.0009579153150581766,0.0009579153150581766,401,424,178.5425025243312,32.70010546408594
8,0.5422124768284491,0.5678623150779082,0.4241876353204088,0.5232840695597332,0.4858215235618275,0.8435604077739949,0.41015814850786625,0.7201621057436186,0.0009518844692091346,0.0009518844692091346,401,424,178.39792382903397,32.75929458811879
9,0.539796208800223,0.5428380326538303,0.421869663949256,0.5306435010250933,0.41992853442276507,0.8502483856311125,0.3266587687427834,0.7076793421519717,0.0009458493748275042,0.0009458493748275042,401,424,178.0775115545839,32.69123543985188
10,0.5315679221825113,0.5727081139148175,0.4011679870263528,0.509818438477619,0.5525548711212087,0.8628041535128197,0.3739272006458946,0.7359760327050098,0.0009398099987569807,0.0009398099987569807,401,424,178.74085152707994,32.855874728411436
11,0.5416137081131971,0.5628957394697279,0.426759224983125,0.48456711889868986,0.5507156135567493,0.8551357203245267,0.3299726223555165,0.7302241366997606,0.0009337663073437344,0.0009337663073437344,401,424,179.0523076876998,32.86091959103942
12,0.5334924985643039,0.5736030969144086,0.43145697532410165,0.542395937640363,0.47858280621767846,0.8542919167845844,0.4146165808869743,0.7202743646327499,0.0009277182664253095,0.0009277182664253095,401,424,179.1347844451666,32.861733090132475
13,0.5249240969184629,0.5708448160541638,0.42685101572651635,0.523550368494991,0.5130980001580909,0.8644433551232563,0.38692143376193167,0.7102047230601966,0.0009216658413191943,0.0009216658413191943,401,424,179.2600540947169,32.941396011039615
14,0.5344380389276585,0.5734649337863811,0.44002259896976587,0.5373555330884434,0.5213726963747766,0.8390422764354356,0.38673061819065213,0.7162658796592131,0.0009156089968110495,0.0009156089968110495,401,424,178.93013471737504,33.136140109971166
15,0.5233330201181093,0.5438386890378698,0.41176780133799273,0.47106904364938834,0.4918488598034746,0.8624681104522586,0.38069901731185846,0.6451793016722461,0.0009095476971425803,0.0009095476971425803,401,424,178.9577459115535,32.86391398310661
16,0.5291192288559274,0.5662849217052844,0.429692584649311,0.5318526483894338,0.5092266428515266,0.8553573630751975,0.3441881077445074,0.7273921835217305,0.0009034819059990411,0.0009034819059990411,401,424,178.09669707901776,32.73446138948202
