variant,checkpoint_kind,precision,layer,op_type,calls,classifications,input_elems,input_sum,input_nonzero,mean_spikes_per_input,nonzero_ratio,dense_macs_total,dense_macs_charged,sop_total,ac_charged,core_energy_pj,mem_energy_pj,neuron_energy_pj,total_energy_pj
max,qat,int4,DAB_Block_3.DAB_Module_3_0.conv3x1.conv,conv2d,1,"{""spike"": 1}",20000,907.0,907,0.04535,0.04535,1920000.0,0.0,87072.0,87072.0,87072.0,0.0,0.0,87072.0
max,qat,int4,DAB_Block_3.DAB_Module_3_0.conv1x3.conv,conv2d,1,"{""dense"": 1}",20000,746.0,745,0.0373,0.03725,1920000.0,1920000.0,0.0,0.0,1920000.0,0.0,0.0,1920000.0
max,qat,int4,DAB_Block_3.DAB_Module_3_0.dconv3x1.conv,conv2d,1,"{""dense"": 1}",20000,489.0,460,0.02445,0.023,60000.0,60000.0,0.0,0.0,60000.0,0.0,0.0,60000.0
max,qat,int4,DAB_Block_3.DAB_Module_3_0.dconv1x3.conv,conv2d,1,"{""dense"": 1}",20000,56.0,54,0.0028,0.0027,60000.0,60000.0,0.0,0.0,60000.0,0.0,0.0,60000.0
max,qat,int4,DAB_Block_3.DAB_Module_3_0.ddconv3x1.conv,conv2d,1,"{""dense"": 1}",20000,489.0,460,0.02445,0.023,60000.0,60000.0,0.0,0.0,60000.0,0.0,0.0,60000.0
max,qat,int4,DAB_Block_3.DAB_Module_3_0.ddconv1x3.conv,conv2d,1,"{""spike"": 1}",20000,25.0,25,0.00125,0.00125,60000.0,0.0,75.0,75.0,75.0,0.0,0.0,75.0
max,qat,int4,DAB_Block_3.DAB_Module_3_0.conv1x1.conv,conv2d,1,"{""dense"": 1}",20000,613.0,568,0.03065,0.0284,1280000.0,1280000.0,0.0,0.0,1280000.0,0.0,0.0,1280000.0
max,qat,int4,transformer1.atten.reduce,linear,1,"{""dense"": 1}",360000,12980.0927734375,360000,0.03605581325954861,1.0,103680000.0,103680000.0,0.0,0.0,103680000.0,0.0,0.0,103680000.0
max,qat,int4,transformer1.atten.qkv,linear,1,"{""dense"": 1}",180000,10571.974609375,13654,0.058733192274305554,0.07585555555555555,155520000.0,155520000.0,0.0,0.0,155520000.0,0.0,0.0,155520000.0
max,qat,int4,transformer1.atten.proj,linear,1,"{""dense"": 1}",180000,10638.833984375,5625,0.05910463324652778,0.03125,103680000.0,103680000.0,0.0,0.0,103680000.0,0.0,0.0,103680000.0
max,qat,int4,transformer1.mlp.fc1,linear,1,"{""dense"": 1}",360000,1.1570035606568015e-35,360000,3.213898779602226e-41,1.0,51840000.0,51840000.0,0.0,0.0,51840000.0,0.0,0.0,51840000.0
max,qat,int4,transformer1.mlp.fc2,linear,1,"{""dense"": 1}",90000,9.294269682685616e-37,15000,1.0326966314095129e-41,0.16666666666666666,51840000.0,51840000.0,0.0,0.0,51840000.0,0.0,0.0,51840000.0
max,qat,int4,DAB_Block_4.DAB_Module_4_0.conv1x1_in.conv,conv2d,1,"{""dense"": 1}",40000,33176.8125,40000,0.8294203125,1.0,1280000.0,1280000.0,0.0,0.0,1280000.0,0.0,0.0,1280000.0
max,qat,int4,DAB_Block_4.DAB_Module_4_0.conv3x1.conv,conv2d,1,"{""spike"": 1}",20000,0.0,0,0.0,0.0,1920000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,qat,int4,DAB_Block_4.DAB_Module_4_0.conv1x3.conv,conv2d,1,"{""spike"": 1}",20000,0.0,0,0.0,0.0,1920000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,qat,int4,DAB_Block_4.DAB_Module_4_0.dconv3x1.conv,conv2d,1,"{""spike"": 1}",20000,0.0,0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,qat,int4,DAB_Block_4.DAB_Module_4_0.dconv1x3.conv,conv2d,1,"{""spike"": 1}",20000,0.0,0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
