method,miou,iou_background,iou_facade,iou_road,iou_vegetation,iou_vehicle,iou_roof,evaluated_batches,elapsed_seconds,checkpoint
fp32,0.7248467038665997,0.6617557586864259,0.8199600308665098,0.6153251941474652,0.883233714512901,0.49424136999793483,0.8745641549883615,1,1.204499127343297,/root/autodl-tmp/LETNet/checkpoint/udd/SpikingLETNet_shallow_maxbs64gpu1_trainval20260611-003821/model_best.pth
qad,0.6205880178750621,0.5535679441973373,0.7187741787840591,0.5700616419787653,0.7501960570372542,0.33560287629832913,0.7953254089546277,1,0.5826990976929665,/root/autodl-tmp/LETNet/QAT_checkpoint/udd/SpikingLETNet_shallow_maxbs64gpu1_trainval20260612-135249/model_q_best.pth
ste,0.2628061030001389,0.15123458389246677,0.3513559919316661,0.41116794399034784,0.5612307733722773,0.09982705286407215,0.0020202719500029896,1,0.5781857576221228,/root/autodl-tmp/LETNet/quantization_comparison_results/seed1234/smoke/ste_qat_w4a4/checkpoint_best.pth
lsq,0.09137165688360098,0.17083747471577038,3.3594385461978793e-05,0.06401868093813483,0.20647228990865332,0.0,0.10686790135358534,1,0.5279434025287628,/root/autodl-tmp/LETNet/quantization_comparison_results/seed1234/smoke/lsq_qat_w4a4/checkpoint_best.pth
ewgs,0.05051183057013,0.0853636770488135,0.11576574242821355,0.0,0.1019415639437529,0.0,0.0,1,0.5746248625218868,/root/autodl-tmp/LETNet/quantization_comparison_results/seed1234/smoke/ewgs_qat_w4a4/checkpoint_best.pth
