2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
4, 32607, 0
520, 32607, 0
520, 32607, 0
520, 32607, 0
1330, 32607, 2
4532, 32607, 0
8904, 32607, 12
4766, 32607, 74
5626, 32607, 16
6214, 32607, 13
23800, 32607, 43
25450, 32607, 75
23650, 32607, 14
22350, 32607, 68
20942, 32607, 71
19422, 32607, 88
22622, 32607, 0
22102, 32607, 94
19842, 32607, 67
17482, 32607, 81
13196, 32607, 36
13196, 32607, 0
13196, 32607, 0
7412, 32607, 68
3736, 32607, 39
5078, 32607, 20
5078, 32607, 1
5078, 32607, 0
5078, 32607, 0
5078, 32607, 0
5078, 32607, 0
5078, 32607, 0
2, 32607, 10
