model,weight_bits,activation_bits,miou,iou_background,iou_facade,iou_road,iou_vegetation,iou_vehicle,iou_roof,weight_zero_fraction,checkpoint
FP32,32.0,32.0,0.6785023808479309,0.5449322462081909,0.6293352842330933,0.6390929818153381,0.8897508978843689,0.5456108450889587,0.8222922086715698,,/root/autodl-tmp/LETNet/checkpoint/udd/SpikingLETNet_shallow_maxbs64gpu1_trainval20260611-003821/model_best.pth
W4/A4,4.0,4.0,0.6195473074913025,0.49017009139060974,0.5768358111381531,0.5958941578865051,0.8745988607406616,0.39856165647506714,0.7812234163284302,,/root/autodl-tmp/LETNet/QAT_checkpoint/udd/SpikingLETNet_shallow_maxbs64gpu1_trainval20260612-135249/model_q_best.pth
W1.58/A4,1.584962500721156,4.0,0.5910900235176086,0.4546132981777191,0.5618504285812378,0.5394566655158997,0.858834445476532,0.36513060331344604,0.7666549682617188,0.8620411537413618,/root/autodl-tmp/LETNet/ternary_QAT_checkpoint/udd/SpikingLETNet_shallow_max_w1p58_a4_bs64_seed1234/model_q_best.pth
W1.58/A1.58,1.584962500721156,1.584962500721156,0.2232590764760971,0.1910414695739746,0.1211031824350357,0.16026027500629425,0.5298978686332703,3.211122748325579e-05,0.3372195363044739,0.8076506885790008,/root/autodl-tmp/LETNet/ternary_QAT_checkpoint/udd/SpikingLETNet_shallow_max_w1p58_a1p58_bs64_seed1234/model_q_best.pth
