schema_version,variant,checkpoint_kind,precision,checkpoint,checkpoint_sha256,config,config_sha256,split_file,split_sha256,synthetic,processed_batches,processed_images,batch_size,timestep,input_size,accounting_mode,classification_mode,sop_method,spike_value_semantics,layer_policy_version,layer_policy_sha256,count_convention,energy_pj,precision_layer_counts,quantization_inventory,sample_ids,mean_spike_count_per_input_across_spike_layers,configured_firing_rate_across_spike_layers,sop_density_per_executed_mac_across_spike_layers,excluded_ops,dense_macs_total,dense_macs_charged,sop_total,ac_charged,core_energy_pj,mem_energy_pj,neuron_energy_pj,total_energy_pj,dense_macs_total_per_image,dense_macs_charged_per_image,sop_total_per_image,ac_charged_per_image,core_energy_pj_per_image,mem_energy_pj_per_image,neuron_energy_pj_per_image,total_energy_pj_per_image
2,max,fp,fp,/root/autodl-tmp/LETNet/checkpoint/udd/SpikingLETNet_shallow_maxbs64gpu1_trainval20260611-003821/model_best.pth,2729d27dad82b9ec5124cc6474bcaad5bb3813de30b1875cd39765be1f46c3fb,/root/autodl-tmp/LETNet/Network/configs/SpikingLETNet_shallow/1.3M.yaml,ab1008283b7f2f539d17654ae30861c5a794145ac3aaa1d4b5f02fc1589becb8,/root/autodl-tmp/UDD/UDD6/preprocessed/val_patches.txt,e535815642b56f6f4d11c3d0ce0ec35914e0861975157d7a3357aa1495261169,False,20,20,1,1,"[400, 400]",all-dense,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,qif_cumulative_count_0_to_T,2,c6a4d3e3d9b18a496f455fad53db28b7570279c817505a32fadd0958972edc8a,standard_dense_kernel_ops_including_padding_convention,"{""fp"": {""ac"": 1.0, ""mac"": 1.0, ""mem_read"": 0.0, ""mem_write"": 0.0, ""neuron_update"": 0.0}, ""int4"": {""ac"": 1.0, ""mac"": 1.0, ""mem_read"": 0.0, ""mem_write"": 0.0, ""neuron_update"": 0.0}}","{""fp"": 83}",[],"[""9ff10cb75ea26f82"", ""4f3e590e309295ca"", ""4c6d7797d0b0aaae"", ""9156b1c236cc4554"", ""ce9f8292291d92b4"", ""92e88eb7cdc4b0c9"", ""4b1dda3d62806c25"", ""45c98f970bb6e5fd"", ""dc871ef1924b669f"", ""f0c7f9558329a58f"", ""91d3969d025c40f2"", ""7301b0325cd0be88"", ""52fbfa4d66ae212e"", ""a57aba58a9cdfab0"", ""d3c3608c9fa385d8"", ""b222fbbcb6cbaf71"", ""097218ed338c595f"", ""d843a1055b074b0c"", ""00b3f31e1bdd8382"", ""eaa8b353bb90390f""]",,,,"[""bias"", ""batch_norm"", ""layer_norm"", ""softmax"", ""pooling"", ""qif_update_reset"", ""shuffle_concat_reshape_repeat"", ""bilinear_interpolation""]",147099041280.0,147099041280.0,0.0,0.0,147099041280.0,0.0,0.0,147099041280.0,7354952064.0,7354952064.0,0.0,0.0,7354952064.0,0.0,0.0,7354952064.0
2,middle,fp,fp,/root/autodl-tmp/LETNet/checkpoint/udd/SpikingLETNet_shallow_middlebs64gpu1_trainval20260611-222604/model_best.pth,240cce2e4f5c53b21830fe4bb95b96f9b3cc3a0d8360a15562ab617644c44a76,/root/autodl-tmp/LETNet/Network/configs/SpikingLETNet_shallow/1.3M.yaml,ab1008283b7f2f539d17654ae30861c5a794145ac3aaa1d4b5f02fc1589becb8,/root/autodl-tmp/UDD/UDD6/preprocessed/val_patches.txt,e535815642b56f6f4d11c3d0ce0ec35914e0861975157d7a3357aa1495261169,False,20,20,1,1,"[400, 400]",all-dense,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,qif_cumulative_count_0_to_T,2,c6a4d3e3d9b18a496f455fad53db28b7570279c817505a32fadd0958972edc8a,standard_dense_kernel_ops_including_padding_convention,"{""fp"": {""ac"": 1.0, ""mac"": 1.0, ""mem_read"": 0.0, ""mem_write"": 0.0, ""neuron_update"": 0.0}, ""int4"": {""ac"": 1.0, ""mac"": 1.0, ""mem_read"": 0.0, ""mem_write"": 0.0, ""neuron_update"": 0.0}}","{""fp"": 86}",[],"[""9ff10cb75ea26f82"", ""4f3e590e309295ca"", ""4c6d7797d0b0aaae"", ""9156b1c236cc4554"", ""ce9f8292291d92b4"", ""92e88eb7cdc4b0c9"", ""4b1dda3d62806c25"", ""45c98f970bb6e5fd"", ""dc871ef1924b669f"", ""f0c7f9558329a58f"", ""91d3969d025c40f2"", ""7301b0325cd0be88"", ""52fbfa4d66ae212e"", ""a57aba58a9cdfab0"", ""d3c3608c9fa385d8"", ""b222fbbcb6cbaf71"", ""097218ed338c595f"", ""d843a1055b074b0c"", ""00b3f31e1bdd8382"", ""eaa8b353bb90390f""]",,,,"[""bias"", ""batch_norm"", ""layer_norm"", ""softmax"", ""pooling"", ""qif_update_reset"", ""shuffle_concat_reshape_repeat"", ""bilinear_interpolation""]",174251926400.0,174251926400.0,0.0,0.0,174251926400.0,0.0,0.0,174251926400.0,8712596320.0,8712596320.0,0.0,0.0,8712596320.0,0.0,0.0,8712596320.0
2,small,fp,fp,/root/autodl-tmp/LETNet/checkpoint/udd/SpikingLETNet_shallow_smallbs64gpu1_trainval20260611-234750/model_best.pth,10e1733c47cf942efa2f1602fd07332ca5404724d4666425078179fb5328e582,/root/autodl-tmp/LETNet/Network/configs/SpikingLETNet_shallow/1.3M.yaml,ab1008283b7f2f539d17654ae30861c5a794145ac3aaa1d4b5f02fc1589becb8,/root/autodl-tmp/UDD/UDD6/preprocessed/val_patches.txt,e535815642b56f6f4d11c3d0ce0ec35914e0861975157d7a3357aa1495261169,False,20,20,1,1,"[400, 400]",all-dense,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,qif_cumulative_count_0_to_T,2,c6a4d3e3d9b18a496f455fad53db28b7570279c817505a32fadd0958972edc8a,standard_dense_kernel_ops_including_padding_convention,"{""fp"": {""ac"": 1.0, ""mac"": 1.0, ""mem_read"": 0.0, ""mem_write"": 0.0, ""neuron_update"": 0.0}, ""int4"": {""ac"": 1.0, ""mac"": 1.0, ""mem_read"": 0.0, ""mem_write"": 0.0, ""neuron_update"": 0.0}}","{""fp"": 85}",[],"[""9ff10cb75ea26f82"", ""4f3e590e309295ca"", ""4c6d7797d0b0aaae"", ""9156b1c236cc4554"", ""ce9f8292291d92b4"", ""92e88eb7cdc4b0c9"", ""4b1dda3d62806c25"", ""45c98f970bb6e5fd"", ""dc871ef1924b669f"", ""f0c7f9558329a58f"", ""91d3969d025c40f2"", ""7301b0325cd0be88"", ""52fbfa4d66ae212e"", ""a57aba58a9cdfab0"", ""d3c3608c9fa385d8"", ""b222fbbcb6cbaf71"", ""097218ed338c595f"", ""d843a1055b074b0c"", ""00b3f31e1bdd8382"", ""eaa8b353bb90390f""]",,,,"[""bias"", ""batch_norm"", ""layer_norm"", ""softmax"", ""pooling"", ""qif_update_reset"", ""shuffle_concat_reshape_repeat"", ""bilinear_interpolation""]",195412815360.0,195412815360.0,0.0,0.0,195412815360.0,0.0,0.0,195412815360.0,9770640768.0,9770640768.0,0.0,0.0,9770640768.0,0.0,0.0,9770640768.0
2,max,qat,mixed_fp_int4,/root/autodl-tmp/LETNet/QAT_checkpoint/udd/SpikingLETNet_shallow_maxbs64gpu1_trainval20260613-170955/model_q_best_complete.pt,2cdb4e346c8936535788182d0007c8b9133ab13e97e1f30320b9c32726600897,/root/autodl-tmp/LETNet/Network/configs/SpikingLETNet_shallow/1.3M.yaml,ab1008283b7f2f539d17654ae30861c5a794145ac3aaa1d4b5f02fc1589becb8,/root/autodl-tmp/UDD/UDD6/preprocessed/val_patches.txt,e535815642b56f6f4d11c3d0ce0ec35914e0861975157d7a3357aa1495261169,False,20,20,1,1,"[400, 400]",all-dense,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,qif_cumulative_count_0_to_T,2,c6a4d3e3d9b18a496f455fad53db28b7570279c817505a32fadd0958972edc8a,standard_dense_kernel_ops_including_padding_convention,"{""fp"": {""ac"": 1.0, ""mac"": 1.0, ""mem_read"": 0.0, ""mem_write"": 0.0, ""neuron_update"": 0.0}, ""int4"": {""ac"": 1.0, ""mac"": 1.0, ""mem_read"": 0.0, ""mem_write"": 0.0, ""neuron_update"": 0.0}}","{""fp"": 13, ""int4"": 70}","[{""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""init_conv.0.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""init_conv.1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""init_conv.2.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""downsample_1.conv3x3.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_1.DAB_Module_1_0.conv1x1_in.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_1.DAB_Module_1_0.conv3x1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_1.DAB_Module_1_0.conv1x3.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_1.DAB_Module_1_0.dconv3x1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_1.DAB_Module_1_0.dconv1x3.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_1.DAB_Module_1_0.ddconv3x1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_1.DAB_Module_1_0.ddconv1x3.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_1.DAB_Module_1_0.conv1x1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""downsample_2.conv3x3.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_2.DAB_Module_2_0.conv1x1_in.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_2.DAB_Module_2_0.conv3x1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_2.DAB_Module_2_0.conv1x3.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_2.DAB_Module_2_0.dconv3x1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_2.DAB_Module_2_0.dconv1x3.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_2.DAB_Module_2_0.ddconv3x1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_2.DAB_Module_2_0.ddconv1x3.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_2.DAB_Module_2_0.conv1x1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""downsample_3.conv3x3.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_3.DAB_Module_3_0.conv1x1_in.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_3.DAB_Module_3_0.conv3x1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_3.DAB_Module_3_0.conv1x3.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_3.DAB_Module_3_0.dconv3x1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_3.DAB_Module_3_0.dconv1x3.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_3.DAB_Module_3_0.ddconv3x1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_3.DAB_Module_3_0.ddconv1x3.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_3.DAB_Module_3_0.conv1x1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""transformer1.atten.reduce"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""transformer1.atten.qkv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""transformer1.atten.proj"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""transformer1.mlp.fc1"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""transformer1.mlp.fc2"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_4.DAB_Module_4_0.conv1x1_in.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_4.DAB_Module_4_0.conv3x1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_4.DAB_Module_4_0.conv1x3.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_4.DAB_Module_4_0.dconv3x1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_4.DAB_Module_4_0.dconv1x3.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_4.DAB_Module_4_0.ddconv3x1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_4.DAB_Module_4_0.ddconv1x3.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_4.DAB_Module_4_0.conv1x1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""upsample_1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_5.DAB_Module_5_0.conv1x1_in.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_5.DAB_Module_5_0.conv3x1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_5.DAB_Module_5_0.conv1x3.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_5.DAB_Module_5_0.dconv3x1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_5.DAB_Module_5_0.dconv1x3.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_5.DAB_Module_5_0.ddconv3x1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_5.DAB_Module_5_0.ddconv1x3.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_5.DAB_Module_5_0.conv1x1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""upsample_2.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_6.DAB_Module_6_0.conv1x1_in.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_6.DAB_Module_6_0.conv3x1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_6.DAB_Module_6_0.conv1x3.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_6.DAB_Module_6_0.dconv3x1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_6.DAB_Module_6_0.dconv1x3.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_6.DAB_Module_6_0.ddconv3x1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_6.DAB_Module_6_0.ddconv1x3.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""DAB_Block_6.DAB_Module_6_0.conv1x1.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""upsample_3.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""PA3.conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""LC1.dconv3x1"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""LC1.dconv1x3"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""LC2.dconv3x1"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""LC2.dconv1x3"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""LC3.dconv3x1"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""LC3.dconv1x3"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""final_conv"", ""weight_quant"": true}, {""activation_quant"": true, ""activation_quant_mode"": ""per_tensor"", ""bits"": 4, ""layer"": ""classifier.0.conv"", ""weight_quant"": true}]","[""9ff10cb75ea26f82"", ""4f3e590e309295ca"", ""4c6d7797d0b0aaae"", ""9156b1c236cc4554"", ""ce9f8292291d92b4"", ""92e88eb7cdc4b0c9"", ""4b1dda3d62806c25"", ""45c98f970bb6e5fd"", ""dc871ef1924b669f"", ""f0c7f9558329a58f"", ""91d3969d025c40f2"", ""7301b0325cd0be88"", ""52fbfa4d66ae212e"", ""a57aba58a9cdfab0"", ""d3c3608c9fa385d8"", ""b222fbbcb6cbaf71"", ""097218ed338c595f"", ""d843a1055b074b0c"", ""00b3f31e1bdd8382"", ""eaa8b353bb90390f""]",,,,"[""bias"", ""batch_norm"", ""layer_norm"", ""softmax"", ""pooling"", ""qif_update_reset"", ""shuffle_concat_reshape_repeat"", ""bilinear_interpolation""]",147099041280.0,147099041280.0,0.0,0.0,147099041280.0,0.0,0.0,147099041280.0,7354952064.0,7354952064.0,0.0,0.0,7354952064.0,0.0,0.0,7354952064.0
