variant,checkpoint_kind,precision,layer,op_type,mode,classification_source,calls,classifications,observed_input_shapes,observed_output_shapes,observed_time_slices,configured_timestep,input_elems,input_neuron_sites,input_firing_rate_sum,input_positive_sum,input_nonzero,input_min,input_max,integer_like_calls,mean_spike_count_per_input,configured_firing_rate,sop_density_per_executed_mac,nonzero_ratio,dense_macs_total,dense_macs_executed,dense_macs_one_step_equivalent,dense_macs_total_per_image,dense_macs_executed_per_image,dense_macs_one_step_equivalent_per_image,dense_macs_charged,dense_macs_charged_per_image,sop_total,sop_per_image,ac_charged,core_energy_pj,core_energy_pj_per_image,mem_energy_pj,neuron_energy_pj,total_energy_pj,total_energy_pj_per_image
small,fp,fp,DAB_Block_1.DAB_Module_1_0.ddconv3x1.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 32, 200, 200]]","[[1, 1, 32, 200, 200]]",[1],1,25600000,25600000.0,7887853.0,7887853.0,7043866,0.0,8.0,20,,,,0.275151015625,76800000.0,76800000.0,76800000.0,3840000.0,3840000.0,3840000.0,76800000.0,3840000.0,0.0,0.0,0.0,76800000.0,3840000.0,0.0,0.0,76800000.0,3840000.0
small,fp,fp,DAB_Block_1.DAB_Module_1_0.ddconv1x3.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 32, 200, 200]]","[[1, 1, 32, 200, 200]]",[1],1,25600000,25600000.0,1943603.0,1943603.0,1801102,0.0,6.0,20,,,,0.070355546875,76800000.0,76800000.0,76800000.0,3840000.0,3840000.0,3840000.0,76800000.0,3840000.0,0.0,0.0,0.0,76800000.0,3840000.0,0.0,0.0,76800000.0,3840000.0
small,fp,fp,DAB_Block_1.DAB_Module_1_0.ca22.conv,conv1d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 1, 32]]","[[1, 1, 1, 32]]",[1],1,640,640.0,103.35942125320435,103.35942125320435,180,0.0,2.6767499446868896,0,,,,0.28125,1920.0,1920.0,1920.0,96.0,96.0,96.0,1920.0,96.0,0.0,0.0,0.0,1920.0,96.0,0.0,0.0,1920.0,96.0
small,fp,fp,DAB_Block_1.DAB_Module_1_0.conv1x1.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 32, 200, 200]]","[[1, 1, 64, 200, 200]]",[1],1,25600000,25600000.0,10400906.0,10400906.0,7958369,0.0,11.0,20,,,,0.3108737890625,1638400000.0,1638400000.0,1638400000.0,81920000.0,81920000.0,81920000.0,1638400000.0,81920000.0,0.0,0.0,0.0,1638400000.0,81920000.0,0.0,0.0,1638400000.0,81920000.0
small,fp,fp,downsample_2.conv3x3.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 64, 200, 200]]","[[1, 1, 64, 100, 100]]",[1],1,51200000,51200000.0,22131212.0,22131212.0,51200000,-11.186620712280273,13.35705280303955,0,,,,1.0,7372800000.0,7372800000.0,7372800000.0,368640000.0,368640000.0,368640000.0,7372800000.0,368640000.0,0.0,0.0,0.0,7372800000.0,368640000.0,0.0,0.0,7372800000.0,368640000.0
small,fp,fp,downsample_2.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 64, 200, 200]]","[[1, 1, 64, 200, 200]]",[1],1,51200000,51200000.0,20128328.0,20128328.0,16395462,0.0,8.0,20,,,,0.3202238671875,29491200000.0,29491200000.0,29491200000.0,1474560000.0,1474560000.0,1474560000.0,29491200000.0,1474560000.0,0.0,0.0,0.0,29491200000.0,1474560000.0,0.0,0.0,29491200000.0,1474560000.0
small,fp,fp,DAB_Block_2.DAB_Module_2_0.conv1x1_in.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 64, 100, 100]]","[[1, 1, 32, 100, 100]]",[1],1,12800000,12800000.0,3276231.0,3276231.0,2562988,0.0,8.0,20,,,,0.2002334375,409600000.0,409600000.0,409600000.0,20480000.0,20480000.0,20480000.0,409600000.0,20480000.0,0.0,0.0,0.0,409600000.0,20480000.0,0.0,0.0,409600000.0,20480000.0
small,fp,fp,DAB_Block_2.DAB_Module_2_0.conv3x1.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 32, 100, 100]]","[[1, 1, 32, 100, 100]]",[1],1,6400000,6400000.0,2332796.0,2332796.0,1922287,0.0,7.0,20,,,,0.30035734375,614400000.0,614400000.0,614400000.0,30720000.0,30720000.0,30720000.0,614400000.0,30720000.0,0.0,0.0,0.0,614400000.0,30720000.0,0.0,0.0,614400000.0,30720000.0
small,fp,fp,DAB_Block_2.DAB_Module_2_0.conv1x3.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 32, 100, 100]]","[[1, 1, 32, 100, 100]]",[1],1,6400000,6400000.0,1662393.0,1662393.0,1451561,0.0,6.0,20,,,,0.22680640625,614400000.0,614400000.0,614400000.0,30720000.0,30720000.0,30720000.0,614400000.0,30720000.0,0.0,0.0,0.0,614400000.0,30720000.0,0.0,0.0,614400000.0,30720000.0
small,fp,fp,DAB_Block_2.DAB_Module_2_0.dconv3x1.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 32, 100, 100]]","[[1, 1, 32, 100, 100]]",[1],1,6400000,6400000.0,1256815.0,1256815.0,1122554,0.0,7.0,20,,,,0.1753990625,19200000.0,19200000.0,19200000.0,960000.0,960000.0,960000.0,19200000.0,960000.0,0.0,0.0,0.0,19200000.0,960000.0,0.0,0.0,19200000.0,960000.0
small,fp,fp,DAB_Block_2.DAB_Module_2_0.dconv1x3.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 32, 100, 100]]","[[1, 1, 32, 100, 100]]",[1],1,6400000,6400000.0,42504.0,42504.0,39435,0.0,5.0,20,,,,0.00616171875,19200000.0,19200000.0,19200000.0,960000.0,960000.0,960000.0,19200000.0,960000.0,0.0,0.0,0.0,19200000.0,960000.0,0.0,0.0,19200000.0,960000.0
small,fp,fp,DAB_Block_2.DAB_Module_2_0.ca11.conv,conv1d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 1, 32]]","[[1, 1, 1, 32]]",[1],1,640,640.0,10.820399671792984,10.820399671792984,60,0.0,0.7285000085830688,0,,,,0.09375,1920.0,1920.0,1920.0,96.0,96.0,96.0,1920.0,96.0,0.0,0.0,0.0,1920.0,96.0,0.0,0.0,1920.0,96.0
small,fp,fp,DAB_Block_2.DAB_Module_2_0.ddconv3x1.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 32, 100, 100]]","[[1, 1, 32, 100, 100]]",[1],1,6400000,6400000.0,1256815.0,1256815.0,1122554,0.0,7.0,20,,,,0.1753990625,19200000.0,19200000.0,19200000.0,960000.0,960000.0,960000.0,19200000.0,960000.0,0.0,0.0,0.0,19200000.0,960000.0,0.0,0.0,19200000.0,960000.0
small,fp,fp,DAB_Block_2.DAB_Module_2_0.ddconv1x3.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 32, 100, 100]]","[[1, 1, 32, 100, 100]]",[1],1,6400000,6400000.0,465086.0,465086.0,382039,0.0,7.0,20,,,,0.05969359375,19200000.0,19200000.0,19200000.0,960000.0,960000.0,960000.0,19200000.0,960000.0,0.0,0.0,0.0,19200000.0,960000.0,0.0,0.0,19200000.0,960000.0
small,fp,fp,DAB_Block_2.DAB_Module_2_0.ca22.conv,conv1d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 1, 32]]","[[1, 1, 1, 32]]",[1],1,640,640.0,81.20299744606018,81.20299744606018,180,0.0,1.0713999271392822,0,,,,0.28125,1920.0,1920.0,1920.0,96.0,96.0,96.0,1920.0,96.0,0.0,0.0,0.0,1920.0,96.0,0.0,0.0,1920.0,96.0
small,fp,fp,DAB_Block_2.DAB_Module_2_0.conv1x1.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 32, 100, 100]]","[[1, 1, 64, 100, 100]]",[1],1,6400000,6400000.0,1942387.0,1942387.0,1450502,0.0,10.0,20,,,,0.2266409375,409600000.0,409600000.0,409600000.0,20480000.0,20480000.0,20480000.0,409600000.0,20480000.0,0.0,0.0,0.0,409600000.0,20480000.0,0.0,0.0,409600000.0,20480000.0
small,fp,fp,downsample_3.conv3x3.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 64, 100, 100]]","[[1, 1, 32, 50, 50]]",[1],1,12800000,12800000.0,2435657.0625,2435657.0625,12800000,-10.88414478302002,7.319483757019043,0,,,,1.0,921600000.0,921600000.0,921600000.0,46080000.0,46080000.0,46080000.0,921600000.0,46080000.0,0.0,0.0,0.0,921600000.0,46080000.0,0.0,0.0,921600000.0,46080000.0
small,fp,fp,downsample_3.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 64, 100, 100]]","[[1, 1, 64, 100, 100]]",[1],1,12800000,12800000.0,3040918.0,3040918.0,2501931,0.0,8.0,20,,,,0.195463359375,7372800000.0,7372800000.0,7372800000.0,368640000.0,368640000.0,368640000.0,7372800000.0,368640000.0,0.0,0.0,0.0,7372800000.0,368640000.0,0.0,0.0,7372800000.0,368640000.0
