mode,macro_disagreement,macro_disagreement_ci_low,macro_disagreement_ci_high,macro_mae,macro_signed_error,miou,pixel_accuracy,prediction_flip_rate_vs_fp_qif,iou_background,iou_facade,iou_road,iou_vegetation,iou_vehicle,iou_roof
fp_qif,,,,,,0.6785024141945621,0.8419552429818353,0.0,0.5449321807875185,0.6293353007030607,0.6390930014582594,0.8897509022147535,0.5456109022415445,0.8222921977622362
w4_qif,0.10863506303270921,0.10563659075656615,0.1117878741960796,0.12794349476204758,-0.0027642369817500157,0.4051845484310956,0.639980206858929,0.33350941112290633,0.2869237912190835,0.3619801690058954,0.2189744953142518,0.786182850841598,0.2102138260500207,0.566832158155724
a4_input_qif,0.08709076309296002,0.0828027057174449,0.091218647871288,0.09961723570212475,0.003698848298691709,0.569788515743764,0.770279934094126,0.17969223431233783,0.41951889764162553,0.5352896158873964,0.47426525515597856,0.8277849073097147,0.413079824808218,0.7487925936596505
w4a4_input_qif,0.11380792714142844,0.11067985381818755,0.11698419855821421,0.1351026429269256,-0.0013858785332512148,0.34593836808138717,0.591629033970276,0.3869743424156641,0.24018827447581018,0.33648519157885,0.10257064147303611,0.7514933919636515,0.1574509493752082,0.4874417596217666
