epoch,train_loss,miou,iou_background,iou_facade,iou_road,iou_vegetation,iou_vehicle,iou_roof,model_lr,quantizer_lr,train_batches,validation_batches,train_seconds,validation_seconds
1,0.9366662004344778,0.39657290750870433,0.32929413545307556,0.2735645465385758,0.30099150813348013,0.7759140756372399,0.11251313036210998,0.5871600489277446,0.0009940129676867249,0.0009940129676867249,401,424,257.5496134068817,36.83683583512902
2,0.7961184444867465,0.42767720511170415,0.33955547854667245,0.324086958342539,0.3668316829676759,0.8357497214315073,0.06363348554534132,0.6362059038364887,0.0009880069432915259,0.0009880069432915259,401,424,252.19706992432475,35.573372695595026
3,0.740032533903669,0.4688021896189558,0.3625985821993104,0.3625928904712355,0.4712668744119264,0.8341946438900435,0.14001206640676425,0.6421480803344545,0.0009819968594364196,0.0009819968594364196,401,424,252.23474727198482,35.2711039185524
4,0.7051370069570375,0.49209886973584105,0.38915874968364084,0.38917983331688594,0.46842105503155074,0.8527749696494907,0.22455563286396307,0.6285029778695149,0.0009759826857342084,0.0009759826857342084,401,424,253.36563855595887,35.07130942866206
5,0.6934027497905151,0.4831557736443366,0.34695291269453227,0.38645072971194855,0.461048589960808,0.8358195777032177,0.21259414188781128,0.6560686899077016,0.0009699643913604667,0.0009699643913604667,401,424,252.19598557054996,34.58520879223943
6,0.684934101348506,0.5123040909649951,0.40195501576112236,0.4115789246307844,0.49184180375960257,0.845922476936167,0.24656284285917546,0.6759634818431188,0.0009639419450441902,0.0009639419450441902,401,424,250.7031166702509,34.50243358686566
7,0.6739056337801298,0.4751610249415205,0.3592943488782012,0.40310705931040214,0.4051417672321792,0.8398753446414416,0.20045744138000046,0.6430901882068987,0.0009579153150581766,0.0009579153150581766,401,424,250.9519415590912,34.55052043311298
8,0.6591618919461742,0.4876863129133396,0.37718430361138444,0.4131144689375409,0.49623484510111954,0.8470148180900564,0.21604380656164177,0.5765256351782944,0.0009518844692091346,0.0009518844692091346,401,424,250.80440199002624,34.86684629134834
9,0.6536450857236201,0.5025203759470395,0.4034608954285603,0.4399043406013763,0.4786612993473625,0.850702137002643,0.16996653848210713,0.6724270448201874,0.0009458493748275042,0.0009458493748275042,401,424,251.38476776517928,34.52420288696885
10,0.6521314369175499,0.48491780531296463,0.3610907775128655,0.3897151782757962,0.4919098503900221,0.8302152491421629,0.25697544488627,0.5796003316706713,0.0009398099987569807,0.0009398099987569807,401,424,250.98430217057467,34.649312015622854
11,0.6469754194678213,0.5056069563930765,0.3960692083226364,0.43259180077931436,0.5229974437617518,0.8179449922415808,0.20381867937832665,0.6602196138748487,0.0009337663073437344,0.0009337663073437344,401,424,251.05937451310456,35.415992176160216
12,0.6476999394911483,0.4317869299448353,0.37763406804631633,0.20370980967241367,0.4664385761421863,0.8442967235012545,0.10349306369349812,0.5951493386133427,0.0009277182664253095,0.0009277182664253095,401,424,250.54168208874762,35.738304276019335
13,0.6272454629663815,0.5009912211815686,0.38192587676953815,0.4235555251589703,0.4941744375237821,0.8307995962888371,0.2831658248352355,0.5923260665130483,0.0009216658413191943,0.0009216658413191943,401,424,251.186194781214,35.30048139207065
14,0.6231015308242189,0.4842867633078283,0.39519489479024006,0.40818951746420123,0.5077089615021908,0.8210339663531808,0.2121366427743874,0.5614565969627695,0.0009156089968110495,0.0009156089968110495,401,424,251.08253658004105,35.17770600877702
15,0.6240704457956062,0.4936270395827959,0.401627470690525,0.3952541073965125,0.4560171557375232,0.8427194002008299,0.2036126828310081,0.6625314206403767,0.0009095476971425803,0.0009095476971425803,401,424,252.55601354129612,35.94307706877589
16,0.6275209449324525,0.5038212978980007,0.3658593835299748,0.39503231190576155,0.5014058162838609,0.8486308844368494,0.24032937451399722,0.6716700167175601,0.0009034819059990411,0.0009034819059990411,401,424,251.383542008698,34.6066528968513
