epoch,train_loss,miou,pixel_accuracy,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,lr,train_samples,optimizer_steps,validation_samples,train_seconds,validation_seconds,peak_memory_bytes
1,1.0109406678685882,0.3091206324829204,0.5592164462432178,0.23616459808613774,0.12888976448957415,0.2599081706682911,0.7609034842773232,0.006755083554762688,0.46210269382143365,0.00029953914139310255,25700,402,8478,2040.7292132230941,206.05982078798115,60281987584
2,1.1675188620823367,0.30767638413473536,0.5438548353090351,0.26873894436966755,0.14589572022082223,0.2749216187721057,0.7642589323650046,0.00047703676296505747,0.3917660523178471,0.0002981594069189736,25700,402,8478,2043.239368423121,206.14304600819014,60280707584
3,1.190266383872422,0.28708501734112934,0.5124691886352913,0.25605699136277754,0.11622162376249827,0.26441027302613923,0.7414146304760661,1.1714747869338982e-05,0.3443948706714256,0.000295869303099453,25700,402,8478,2042.983829140896,205.99150404916145,60280707584
4,1.169166375598091,0.3155092124744023,0.5524410901745694,0.27143066500192925,0.19067933957976932,0.2620826892720606,0.777819046802493,2.310682673865874e-06,0.39104122350748727,0.0002926829491861249,25700,402,8478,2037.4302863499615,205.536245648982,60280707584
5,1.1901356597633213,0.29035645268793764,0.5288306329617835,0.2467539587149173,0.1352363759618783,0.27350061818452703,0.7259916718176496,0.0,0.3606560914486536,0.0002886199901104367,25700,402,8478,2034.4746640010271,205.5678207410965,60280707584
6,1.2070341605249546,0.2770703285000246,0.51794536004954,0.24168452168494714,0.08449741070031415,0.2092960872477827,0.7592940647104358,0.0,0.367649886656668,0.0002837054753661606,25700,402,8478,2033.7017103850376,205.54526262613945,60280707584
7,1.1877190431361069,0.256089493381407,0.5143668494928049,0.2045254456903488,0.12066354392024377,0.13301273629283147,0.6886673430905795,0.0,0.38966789129443835,0.0002779697045709366,25700,402,8478,2035.201796811074,205.52939396491274,60280707584
8,1.2291190547794684,0.21735400903811755,0.4301958023708422,0.19707281096763585,0.12481101925913587,0.20069425855142436,0.6672259174535844,0.0,0.11432004799692493,0.0002714480406590543,25700,402,8478,2036.051511791069,205.86047056596726,60280707584
9,1.3089116287973603,0.24398410817469976,0.4711865364767634,0.2004049143347406,0.07797353017484208,0.23807771032422104,0.679686579746848,0.0,0.26776191446754705,0.00026418069185720394,25700,402,8478,2033.6538838371634,205.30056110583246,60280707584
10,1.3480473845107082,0.23086332963538927,0.4535147211901392,0.15035887752552562,0.10270524468014164,0.1941471748481001,0.668362926228331,0.0,0.2696057545302373,0.00025621246378738823,25700,402,8478,2032.127091174014,205.19774125888944,60280707584
11,1.4024259544624893,0.2045886848172073,0.40100449988204767,0.16648674974633795,0.0530098160443446,0.1578746807558457,0.7167736241551238,0.0,0.13338723820159196,0.0002475924832253618,25700,402,8478,2032.1734420591965,205.25519087002613,60280707584
12,1.4382214189781752,0.2333516269788765,0.4809276959483369,0.14672730886851731,0.10910351608751895,0.09018345885054034,0.671415718971424,0.0,0.3826797590952583,0.00023837389521772488,25700,402,8478,2033.2476998821367,205.542011810001,60280707584
13,1.4725700106045616,0.17979931438747043,0.3829358036978061,0.1726222572648755,0.012705568824520888,0.21336913636355379,0.6725869749438071,0.0,0.007511948928065251,0.00022861353542503448,25700,402,8478,2033.9969971489627,205.39186831493862,60280707584
14,1.5283541294016263,0.18143914911438577,0.36586756826492095,0.15740194093488022,0.13522689974406898,0.1012755447585275,0.6942582780303047,0.0,0.00047223121853312366,0.00021837157971106252,25700,402,8478,2032.2335337649565,204.57642878894694,60280707584
15,1.5048368221869264,0.1685419920735416,0.3797935494810097,0.1721601719946255,3.4590794715102436e-06,0.11158467630915894,0.6604506618051862,0.0,0.06705298325280734,0.00020771117313858153,25700,402,8478,2040.676472289022,207.24190990789793,60281199104
16,1.5432471173097186,0.1293369769141212,0.35154323395848075,0.1771262511620977,1.1009719490511727e-05,0.0,0.5876757451145981,0.0,0.011208855488540871,0.00019669804065905537,25700,402,8478,2040.3767559069674,206.35704412613995,60281199104
17,1.5647462130891674,0.14063222750732593,0.35354007799598963,0.17699752341980793,0.052610879813985996,0.0,0.614175209079228,0.0,9.752730933644383e-06,0.00018540008189645848,25700,402,8478,2040.6740323170088,206.43641131999902,60281199104
18,1.5461869793828824,0.13496752847807608,0.3555039919497523,0.18334197620914702,5.797383588610008e-08,0.0,0.6264630293934241,0.0,1.0729204941987672e-07,0.00017388695252351522,25700,402,8478,2041.5202840149868,206.50230697914958,60281199104
