epoch,train_loss,task_loss,kd_loss,lr,train_batches,train_seconds,val_miou,val_batches,val_seconds,weight_zero_fraction,elapsed_seconds
1,1.2584732794702203,0.9059317929489059,3.525414815270098,0.0009940129676867249,401,240.14242615178227,0.4344038963317871,424,33.34473937191069,0.8187743046095163,273.50205010920763
2,1.0712741311648837,0.7761000424549169,2.95174079226734,0.0009880069432915259,401,235.3420944120735,0.460519939661026,424,32.320119727402925,0.8233666373566493,541.2735578548163
3,1.0207021066970063,0.7416735110140203,2.7902858917255355,0.0009819968594364196,401,235.64003998972476,0.46991610527038574,424,32.382238019257784,0.8259503566740148,809.4024840611964
4,0.9985157994558091,0.7259804578196081,2.7253533444202453,0.0009759826857342084,401,235.6794611811638,0.49051544070243835,424,32.439709233120084,0.8277058615906671,1077.6352475266904
5,0.9775203476820206,0.7095973903401535,2.6792295139626674,0.0009699643913604667,401,235.5169677566737,0.39186468720436096,424,32.25128906033933,0.8290457112426621,1345.5100117828697
6,0.9615327683172916,0.6976250780193586,2.639076832821244,0.0009639419450441902,401,235.02754900977015,0.44642266631126404,424,32.18314786069095,0.8308050863200654,1612.790426025167
7,0.9500976876724985,0.6886083769084806,2.6148930505624137,0.0009579153150581766,401,234.9044880066067,0.4717783033847809,424,32.13803774677217,0.8319460097094593,1879.9021199159324
8,0.9303468409321849,0.6740710211365003,2.56275812408276,0.0009518844692091346,401,234.54839384928346,0.46420350670814514,424,32.14721772260964,0.8322610407945904,2146.6694913674146
9,0.9420817278864377,0.6833604351243473,2.5872128806506605,0.0009458493748275042,401,234.8451343048364,0.4825626313686371,424,32.181377893313766,0.8337084809154633,2413.770224655047
10,0.9311539955864523,0.6749516160708116,2.5620237437269635,0.0009398099987569807,401,234.70593314431608,0.5057318806648254,424,32.23028304055333,0.8344732246798603,2680.778715128079
11,0.9346837778935706,0.6766142940283416,2.5806947890065257,0.0009337663073437344,401,234.68504167720675,0.5167362093925476,424,32.18125443160534,0.8346798912639636,2947.751496732235
12,0.9215275576881637,0.66606467835921,2.5546287324957717,0.0009277182664253095,401,234.47729732468724,0.4653037488460541,424,32.17392945103347,0.8353246600450797,3214.5171010531485
13,0.9214192805742087,0.6658326614081413,2.5558661487037106,0.0009216658413191943,401,234.78414148278534,0.5000715255737305,424,32.321029948070645,0.8357828870779976,3481.6884594541043
14,0.9179906920899179,0.6629587240944479,2.5503196329844564,0.0009156089968110495,401,234.22405235096812,0.4887116253376007,424,32.18522206321359,0.8370375931934709,3748.167743165046
15,0.9125862594257269,0.6574450821947873,2.551411708988751,0.0009095476971425803,401,234.50542437285185,0.46855083107948303,424,32.26930343732238,0.8378201396973225,4015.01057748124
16,0.9087152831869529,0.6548026727322034,2.53912603290301,0.0009034819059990411,401,234.89489273168147,0.5073828101158142,424,32.25232729502022,0.8382117999653234,4282.224858868867
17,0.910383528158849,0.6559770978299757,2.544064247102809,0.0008974115864963575,401,234.46132656000555,0.47663435339927673,424,32.275764698162675,0.8397289029797141,4549.032811768353
18,0.9083200294775261,0.654263374514116,2.5405664824488157,0.0008913367011678507,401,234.70503777451813,0.5094589591026306,424,32.247450998052955,0.8402536967775494,4816.0569909941405
19,0.9124965701911812,0.6576801534008206,2.5481641363919225,0.0008852572119505499,401,234.81652691215277,0.4326716959476471,424,32.31569638289511,0.8411020360141679,5083.258695852011
20,0.9079684781612006,0.6536058743398385,2.5436260022427377,0.0008791730801710756,401,235.30682319030166,0.5014299750328064,424,32.18708632700145,0.8411461558467292,5350.822230890393
21,0.9063741478539464,0.6531998825043515,2.5317425929994655,0.0008730842665310786,401,234.92473632656038,0.39739537239074707,424,32.18764063157141,0.8414147450028484,5618.001779275015
22,0.9028007116103708,0.6504257331019327,2.5237497546131773,0.0008669907310922142,401,234.92402241937816,0.4750279486179352,424,32.316436130553484,0.8418071793029995,5885.3108088020235
23,0.9027940983189608,0.6506874692113025,2.5210662048653774,0.0008608924332606365,401,234.48625002987683,0.37148651480674744,424,32.26288475096226,0.8422692764966686,6152.127992417663
24,0.9080618165080386,0.6536165779814161,2.5444523194187,0.0008547893317709919,401,234.65709548071027,0.4982886016368866,424,32.29135133512318,0.842721311272385,6419.146037580445
25,0.9080681032373423,0.6526416923637105,2.5542640543340744,0.0008486813846698896,401,234.37413321062922,0.48740044236183167,424,32.26879316009581,0.84293494414584,6685.8593663889915
26,0.903271722526027,0.6500947051809316,2.5317701169677505,0.0008425685492988323,401,234.61098014004529,0.4606419801712036,424,32.38239164091647,0.843000736878607,6952.91934395209
27,0.8938246717179505,0.6430007885221829,2.50823874544919,0.0008364507822765806,401,234.64511884003878,0.48207858204841614,424,32.19759248942137,0.8433784645679043,7219.829250296578
28,0.904263660646139,0.6495599196736057,2.547037333918926,0.00083032803948093,401,234.4945714958012,0.5262938141822815,424,32.29127066023648,0.8434310987541178,7486.681826135144
29,0.9045585860635277,0.6493690797218361,2.5518950304188337,0.000824200276029874,401,234.970684543252,0.4634411334991455,424,32.32645997963846,0.8437407116141976,7754.0881097614765
30,0.9021331639658483,0.6477112306323729,2.544219239394266,0.000818067446262131,401,235.0436586458236,0.5045270919799805,424,32.286111645400524,0.8441447563966017,8021.490551592782
31,0.8949043575367726,0.6422019465605814,2.5270240407929454,0.0008119295037170033,401,235.07406319864094,0.49191248416900635,424,32.22050489671528,0.8441857801005622,8288.855995396152
32,0.9009894594884573,0.6468629155521678,2.5412653758936097,0.0008057864011135426,401,235.1059056725353,0.44723471999168396,424,32.33495802432299,0.844437340549377,8556.366634923965
33,0.8986468432550121,0.6449227993030501,2.537240382144576,0.0007996380903289922,401,235.25719825923443,0.4815537929534912,424,32.31113190762699,0.8444590134495826,8824.00487893261
34,0.9051078156640108,0.6499451569785502,2.5516265223448413,0.0007934845223764714,401,234.990423316136,0.4215288460254669,424,32.2516879234463,0.8446865789017413,9091.317938061431
35,0.8925307201328421,0.6397727564386002,2.527579581648334,0.0007873256473818732,401,234.98131545446813,0.4917151927947998,424,32.33087814413011,0.8456502489287395,9358.696435986087
36,0.8900325912192575,0.6379933182586756,2.5203926807032557,0.0007811614145599355,401,235.11336139403284,0.5239847302436829,424,32.34049040824175,0.8452516223713868,9626.219845920801
37,0.9032289690507618,0.6485847555045178,2.5464420895326763,0.0007749917721894537,401,234.7350409515202,0.4771850109100342,424,32.218850921839476,0.8451409357739083,9893.243113990873
38,0.895559311953566,0.64229004921164,2.532692573908856,0.0007688166675875914,401,235.03991007618606,0.5039138793945312,424,32.23347758129239,0.8452206610853789,10160.58795244433
39,0.8888787969092181,0.6368641654154904,2.5201462504275125,0.0007626360470832516,401,234.9944993648678,0.4695853292942047,424,32.28682989254594,0.8454265536373319,10427.939684268087
40,0.8938693945247336,0.6399515581844454,2.5391782965148773,0.0007564498559894636,401,234.6569451186806,0.3733961582183838,424,32.216300044208765,0.8456757919896961,10694.882690893486
41,0.8914716569265523,0.638379754642596,2.530918954316517,0.0007502580385747388,401,234.75304378941655,0.4931001663208008,424,32.28061116859317,0.8457671277834196,10961.98348415643
42,0.8885934366252357,0.6350003012695218,2.535931297073935,0.0007440605380333515,401,234.97894061543047,0.4407775104045868,424,32.22125431150198,0.8465767654125281,11229.253926653415
43,0.8921661339793122,0.6383577276792313,2.5380840099363255,0.0007378572964544873,401,234.69409180991352,0.5198960900306702,424,32.20035685785115,0.8474026577167909,11496.219280261546
