epoch,train_loss,miou,iou_background,iou_facade,iou_road,iou_vegetation,iou_vehicle,iou_roof,model_lr,quantizer_lr,train_batches,validation_batches,train_seconds,validation_seconds
1,0.836605167002452,0.4318061882132911,0.2515758390756061,0.34679327541895494,0.4128811463054751,0.7956956346815395,0.1992507166880078,0.584640517110163,0.0009940129676867249,9.94012967686725e-06,401,424,304.10353978537023,38.82404774427414
2,0.7562186668935856,0.36183701770333004,0.21592659456995159,0.29062801663553794,0.22700904878274122,0.7880019635437654,0.17133459845982746,0.4781218842281569,0.0009880069432915259,9.88006943291526e-06,401,424,298.74094862677157,37.07201878540218
3,0.7386546849907187,0.40262754717957255,0.29553115861393714,0.29226297427577175,0.33910489228731416,0.7622414672674782,0.1928319537885573,0.5337928368443767,0.0009819968594364196,9.819968594364195e-06,401,424,298.791117856279,37.17563357390463
4,0.7254356886086024,0.45179324920962954,0.3119914905847853,0.35321684133526243,0.4276886623669497,0.8136502684274849,0.23500441492016577,0.5692078176231293,0.0009759826857342084,9.759826857342084e-06,401,424,298.41308494098485,37.26868270151317
5,0.7300298411649956,0.39983001119424627,0.3168645502188883,0.3602427871512436,0.3318913431832211,0.8065027299555373,0.18093048522788494,0.40254817142870203,0.0009699643913604667,9.699643913604669e-06,401,424,298.7075855638832,37.26399575173855
6,0.7166811113345652,0.4445548340992603,0.3310085762445535,0.36399006892657226,0.4235417333269109,0.8150992373030826,0.27630035831992916,0.4573890304745135,0.0009639419450441902,9.639419450441903e-06,401,424,298.8454673718661,37.026530884206295
7,0.72671040662209,0.4401256342797459,0.3224852889679083,0.2447881270079675,0.4135094076207354,0.8117196645943446,0.24056955763610596,0.6076817598514132,0.0009579153150581766,9.579153150581766e-06,401,424,298.56601723469794,37.143256871029735
8,0.7281639439209441,0.4725943061565003,0.3380408709517567,0.359159498330238,0.461349466692766,0.8286449860943622,0.24505196692469772,0.6033190479451807,0.0009518844692091346,9.518844692091348e-06,401,424,298.45477893948555,38.12453883513808
9,0.7196876378428014,0.3783187208658072,0.29860369039873913,0.24645697934380756,0.2933418984127831,0.7067284870139235,0.15900652472598578,0.565774745299604,0.0009458493748275042,9.458493748275043e-06,401,424,298.45901419967413,37.05398020334542
10,0.7172600204807862,0.38355044343151484,0.2667565676970254,0.12923886753226754,0.3580428370576578,0.7315822177548982,0.22636748815467908,0.5893146823925608,0.0009398099987569807,9.398099987569807e-06,401,424,298.4368191845715,37.20976686477661
11,0.7234302944970548,0.4403939233526426,0.2804508804422541,0.32808030294305357,0.4138320163976152,0.7373018833004615,0.2545229255893829,0.6281755314430886,0.0009337663073437344,9.337663073437344e-06,401,424,298.7045024111867,37.17985993809998
12,0.7214442620848183,0.387904066394051,0.2721696340275305,0.3106182224648293,0.2536535423525295,0.7969414207611366,0.20587554947844144,0.4881660292798387,0.0009277182664253095,9.277182664253096e-06,401,424,309.7957705091685,38.82448623329401
13,0.7289301750071329,0.3584254145582532,0.20479428550961729,0.3107681865065932,0.17158659931516448,0.8119957953064498,0.13810676432352306,0.5133008563881714,0.0009216658413191943,9.216658413191943e-06,401,424,304.46962052211165,37.64345864765346
14,0.7221737642240643,0.3206373167054904,0.26163819509838565,0.2866475876979406,0.09006539129264816,0.748885602385499,0.05494360940688763,0.48164351435158154,0.0009156089968110495,9.156089968110497e-06,401,424,303.5385456867516,37.736418921500444
15,0.7393220236473844,0.45314953261995744,0.3029564474030056,0.36146230963254894,0.4103431822083831,0.8020148762202212,0.25015053539347964,0.5919698448621062,0.0009095476971425803,9.095476971425804e-06,401,424,303.6738293580711,37.679873211309314
16,0.7104787202250036,0.406557078859583,0.26043916222998886,0.385014588598895,0.3195993419167933,0.7360735278555799,0.15568690724106565,0.5825289453151753,0.0009034819059990411,9.034819059990411e-06,401,424,304.3501087613404,37.890667732805014
