method,miou,iou_background,iou_facade,iou_road,iou_vegetation,iou_vehicle,iou_roof,evaluated_batches,elapsed_seconds,checkpoint
fp32,0.6785024141945621,0.5449321807875185,0.6293353007030607,0.6390930014582594,0.8897509022147535,0.5456109022415445,0.8222921977622362,424,20.305630087852478,/root/autodl-tmp/LETNet/checkpoint/udd/SpikingLETNet_shallow_maxbs64gpu1_trainval20260611-003821/model_best.pth
qad,0.6195473169172718,0.4901700688908935,0.5768358315111254,0.5958942730379632,0.8745987569537662,0.39856164491253276,0.7812233261973497,424,44.29864468239248,/root/autodl-tmp/LETNet/QAT_checkpoint/udd/SpikingLETNet_shallow_maxbs64gpu1_trainval20260612-135249/model_q_best.pth
ste,0.5812704988267746,0.4384235281893583,0.5329594481560379,0.5620176241940578,0.8399892819892196,0.35059753183394815,0.7636355785980256,424,44.40121179074049,/root/autodl-tmp/LETNet/quantization_comparison_checkpoint/udd/seed1234/ste_qat_w4a4/checkpoint_best.pth
lsq,0.5379147194215743,0.40587111779831986,0.4651001195817879,0.5013216505238192,0.864609194455607,0.30670818350653967,0.6838780506633723,424,34.84136295877397,/root/autodl-tmp/LETNet/quantization_comparison_checkpoint/udd/seed1234/lsq_qat_w4a4/checkpoint_best.pth
ewgs,0.47283653532246334,0.3386810425225452,0.35865116805020997,0.4621591769796668,0.8289025890754086,0.24540064650766966,0.6032245887992801,424,37.91920725814998,/root/autodl-tmp/LETNet/quantization_comparison_checkpoint/udd/seed1234/ewgs_qat_w4a4/checkpoint_best.pth
