rel_time_s,wall_time_s,power_w,temperature_c,gpu_util_pct,sm_clock_mhz,mem_clock_mhz,phase
0.00025493279099464417,1783619456.181385,107.338,34,27,2332,12481,active
0.030407994985580444,1783619456.2056203,107.338,34,28,2332,12481,active
0.05141131952404976,1783619456.226567,107.338,34,28,2332,12481,active
0.07235080748796463,1783619456.2476616,107.338,34,28,2332,12481,active
0.09408502839505672,1783619456.2684262,107.338,34,27,2332,12481,active
0.11417821608483791,1783619456.288518,107.338,34,27,2332,12481,active
0.13427244126796722,1783619456.3086069,107.338,34,27,2332,12481,active
0.15436016395688057,1783619456.3286953,107.338,34,27,2332,12481,active
0.17445854283869267,1783619456.3487926,107.338,34,27,2332,12481,active
0.19454814679920673,1783619456.368882,113.967,34,27,2332,12481,active
0.21462616324424744,1783619456.3889763,113.967,34,27,2332,12481,active
0.23473618365824223,1783619456.4090793,113.967,34,27,2332,12481,active
0.25494675524532795,1783619456.4292808,113.967,34,27,2332,12481,active
0.27503336034715176,1783619456.4493678,113.967,34,27,2332,12481,active
0.2951343283057213,1783619456.469468,118.539,34,28,2332,12481,active
0.3152214642614126,1783619456.4895566,118.539,34,28,2332,12481,active
0.3353320397436619,1783619456.5096748,118.539,34,28,2332,12481,active
0.3554287273436785,1783619456.5297804,118.539,34,28,2332,12481,active
0.37553311698138714,1783619456.5498788,118.539,34,28,2332,12481,active
0.3956376202404499,1783619456.569977,125.59,34,28,2332,12481,active
0.4157310016453266,1783619456.5900643,125.59,34,28,2332,12481,active
0.4362061433494091,1783619456.6105523,125.59,34,28,2332,12481,active
0.4563063681125641,1783619456.63064,125.59,34,28,2332,12481,active
0.4764475245028734,1783619456.6507812,125.59,34,28,2332,12481,active
0.49654578790068626,1783619456.6708906,125.254,34,27,2332,12481,active
0.516664694994688,1783619456.6910126,125.254,34,27,2332,12481,active
0.5367891062051058,1783619456.711128,125.254,34,27,2332,12481,active
0.5569273829460144,1783619456.7312632,125.254,34,27,2332,12481,active
0.5770659428089857,1783619456.75141,125.254,34,27,2332,12481,active
0.5971985831856728,1783619456.7715423,128.884,34,27,2332,12481,active
0.6173302233219147,1783619456.7917182,128.884,34,27,2332,12481,active
0.6375121511518955,1783619456.811865,128.884,34,27,2332,12481,active
0.6576679591089487,1783619456.8320067,128.884,34,27,2332,12481,active
0.6777806356549263,1783619456.8521523,128.884,34,27,2332,12481,active
