2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
2, 32607, 0
4, 32607, 0
520, 32607, 2
520, 32607, 0
520, 32607, 0
520, 32607, 0
520, 32607, 0
2112, 32607, 0
2294, 32607, 0
6854, 32607, 30
16806, 32607, 17
16808, 32607, 74
18368, 32607, 84
6848, 32607, 47
10236, 32607, 68
11956, 32607, 79
12976, 32607, 40
31956, 32607, 57
31956, 32607, 0
31956, 32607, 0
31956, 32607, 0
31956, 32607, 0
31952, 32607, 0
2, 32607, 0
