schedule_index,pair,precision,precision_trial,measure_images,active_wall_s,active_cuda_s,active_window_start_s,active_window_end_s,gross_energy_j,integrated_power_energy_j,energy_source,counter_vs_integrated_pct,active_mean_power_w,idle_pre_s,idle_post_s,idle_baseline_w,gross_j_per_image,net_energy_j,net_j_per_image,images_per_second,active_sample_count,idle_pre_sample_count,idle_post_sample_count
1,1,fp32,1,50000,41.229174541309476,41.22901171875,0.0005467887967824936,41.234230909496546,12469.10100030899,12319.669643461359,nvml_total_energy_counter,1.2129493823476167,298.77683515736953,10.00025831721723,10.000216146931052,85.09636,0.24938202000617982,8960.648321038883,0.17921296642077766,1212.7334722625264,412,100,100
2,1,int8,1,50000,39.6275571398437,39.62733203125,0.0005143433809280396,39.632537223398685,7970.614999771118,7900.441691696599,nvml_total_energy_counter,0.8882200617754243,199.34490135955076,10.000262847170234,10.000326339155436,86.23870000000001,0.15941229999542236,4553.185987855279,0.09106371975710557,1261.7482279705623,396,100,100
3,2,fp32,2,50000,40.63120232895017,40.6309921875,0.0006082151085138321,40.636169435456395,12306.05599975586,12154.843258436118,nvml_total_energy_counter,1.2440534041012086,299.1183803891871,10.000245559960604,10.000252110883594,86.88443,0.24612111999511718,8775.837145190351,0.17551674290380703,1230.5813545757287,406,100,100
4,2,int8,2,50000,39.63455235399306,39.63437890625,0.0004969015717506409,39.63942120410502,7995.517999649048,7917.056503539776,nvml_total_energy_counter,0.9910437809075967,199.7293479286926,10.000243201851845,10.000248737633228,86.7568,0.15991035999298095,4556.951067984142,0.09113902135968285,1261.525538460198,396,100,100
5,3,fp32,3,50000,40.710626143962145,40.7104296875,0.0005155429244041443,40.71545617841184,12332.562000274658,12170.680767761836,nvml_total_energy_counter,1.3300918461489841,298.92419288347884,10.00016955472529,10.000248033553362,86.95326999999999,0.24665124000549316,8792.63993330966,0.1758527986661932,1228.1805694461316,407,100,100
6,3,int8,3,50000,39.64427861571312,39.64408203125,0.000539017841219902,39.64917101711035,7983.0740003585815,7909.148924011673,nvml_total_energy_counter,0.9346780172829527,199.48100414050776,10.000210596248507,10.000338893383741,86.6506,0.15966148000717162,4547.873471739871,0.09095746943479742,1261.2160378719152,396,100,100
7,4,fp32,4,50000,40.62976991944015,40.62958984375,0.0005364958196878433,40.63462498039007,12305.923999786377,12155.464864117801,nvml_total_energy_counter,1.23779005863216,299.1445192312727,10.000284101814032,10.000284519046545,86.93867,0.24611847999572753,8773.625840584244,0.17547251681168488,1230.6247389325351,406,100,100
8,4,int8,4,50000,39.323696384206414,39.32372265625,0.0002850610762834549,39.3283617682755,7797.700000286102,7729.856701421732,nvml_total_energy_counter,0.8776786101596379,196.54804782270833,10.000242264941335,10.000242115929723,86.4081,0.15595400000572204,4399.814110749956,0.08799628221499912,1271.4979668107069,393,100,100
9,5,fp32,5,50000,40.68597061932087,40.6927421875,0.0005155093967914581,40.69080975279212,12311.401000022888,12136.510164077805,nvml_total_energy_counter,1.4410306882346902,298.26548049717655,10.000244200229645,10.000230796635151,86.8246,0.24622802000045776,8778.857875388601,0.17557715750777203,1228.9248416321695,407,100,100
10,5,int8,5,50000,39.597273575142026,39.60321484375,0.0005623344331979752,39.60221024416387,8003.631999969482,7931.122369214339,nvml_total_energy_counter,0.9142417350235021,200.2725337918464,10.000241968780756,10.000295309349895,86.3854,0.16007263999938964,4583.005683271408,0.09166011366542816,1262.713199309472,396,100,100
