rel_time_s             , wall_time_s       , power_w, temperature_c, gpu_util_pct, sm_clock_mhz, mem_clock_mhz, phase
 0.000443335622549057  , 1783619953.8094985, 111.981,            35,           27,         2325,         12481, active
 0.03085782378911972   , 1783619953.8332443, 111.981,            36,           28,         2325,         12481, active
 0.0509615633636713    , 1783619953.8533473, 111.981,            36,           28,         2325,         12481, active
 0.0710555762052536    , 1783619953.87344  , 111.981,            36,           28,         2325,         12481, active
 0.09115254506468773   , 1783619953.8935301, 111.981,            36,           28,         2325,         12481, active
 0.11123168095946312   , 1783619953.9136093, 111.981,            36,           28,         2325,         12481, active
 0.13131382130086422   , 1783619953.9336915, 117.504,            35,           28,         2325,         12481, active
 0.15138426795601845   , 1783619953.9537616, 117.504,            35,           28,         2325,         12481, active
 0.17146537452936172   , 1783619953.973848 , 117.504,            35,           28,         2325,         12481, active
 0.19181491620838642   , 1783619953.9941926, 117.504,            35,           28,         2325,         12481, active
 0.2119067031890154    , 1783619954.0142848, 117.504,            35,           28,         2325,         12481, active
 0.23200163058936596   , 1783619954.034392 , 118.742,            35,           28,         2325,         12481, active
 0.25210163183510303   , 1783619954.0544794, 118.742,            35,           28,         2325,         12481, active
 0.27218126505613327   , 1783619954.0745726, 118.742,            35,           28,         2325,         12481, active
 0.29230679385364056   , 1783619954.0946844, 118.742,            35,           28,         2325,         12481, active
 0.3123772218823433    , 1783619954.114755 , 118.742,            35,           28,         2325,         12481, active
 0.33246082067489624   , 1783619954.134839 , 121.869,            36,           28,         2325,         12481, active
 0.35254741087555885   , 1783619954.1549265, 121.869,            36,           28,         2325,         12481, active
 0.3726489432156086    , 1783619954.1750267, 121.869,            36,           28,         2325,         12481, active
 0.39271654561161995   , 1783619954.195094 , 121.869,            36,           28,         2325,         12481, active
 0.41278501227498055   , 1783619954.215164 , 121.869,            36,           28,         2325,         12481, active
 0.43287836387753487   , 1783619954.235256 , 129.731,            35,           28,         2325,         12481, active
 0.45294914953410625   , 1783619954.2553418, 129.731,            35,           28,         2325,         12481, active
 0.47303793393075466   , 1783619954.2754245, 129.731,            35,           28,         2325,         12481, active
 0.4931320156902075    , 1783619954.2955096, 129.731,            35,           28,         2325,         12481, active
 0.513198459520936     , 1783619954.315596 , 129.731,            35,           28,         2325,         12481, active
 0.5333533231168985    , 1783619954.3357391, 129.107,            36,           28,         2325,         12481, active
 0.5534310787916183    , 1783619954.3558238, 129.107,            36,           28,         2325,         12481, active
 0.573521239683032     , 1783619954.3758986, 129.107,            36,           28,         2325,         12481, active
 0.5936050657182932    , 1783619954.3959823, 129.107,            36,           28,         2325,         12481, active
 0.6136884819716215    , 1783619954.4160657, 129.107,            36,           28,         2325,         12481, active
 0.633765198290348     , 1783619954.4361436, 129.199,            35,           28,         2325,         12481, active
