variant,checkpoint_kind,precision,checkpoint,config,processed_batches,batch_size,timestep,input_size,mean_spikes_per_input,dense_macs_total,dense_macs_charged,sop_total,ac_charged,core_energy_pj,mem_energy_pj,neuron_energy_pj,total_energy_pj,energy_pj
max,fp,fp,/root/autodl-tmp/LETNet/checkpoint/udd/SpikingLETNet_shallow_maxbs64gpu1_trainval20260611-003821/model_best.pth,/root/autodl-tmp/LETNet/Network/configs/SpikingLETNet_shallow/1.3M.yaml,1,1,1,"[400, 400]",0.33365306778260573,7298880000.0,7292800000.0,1725.0,1725.0,7292801725.0,0.0,0.0,7292801725.0,"{'mac': 1.0, 'ac': 1.0, 'mem_read': 0.0, 'mem_write': 0.0, 'neuron_update': 0.0}"
middle,fp,fp,/root/autodl-tmp/LETNet/checkpoint/udd/SpikingLETNet_shallow_middlebs64gpu1_trainval20260611-222604/model_best.pth,/root/autodl-tmp/LETNet/Network/configs/SpikingLETNet_shallow/1.3M.yaml,1,1,1,"[400, 400]",0.31053421252052066,8684560000.0,8682680000.0,0.0,0.0,8682680000.0,0.0,0.0,8682680000.0,"{'mac': 1.0, 'ac': 1.0, 'mem_read': 0.0, 'mem_write': 0.0, 'neuron_update': 0.0}"
small,fp,fp,/root/autodl-tmp/LETNet/checkpoint/udd/SpikingLETNet_shallow_smallbs64gpu1_trainval20260611-234750/model_best.pth,/root/autodl-tmp/LETNet/Network/configs/SpikingLETNet_shallow/1.3M.yaml,1,1,1,"[400, 400]",0.4194858226688745,9320640000.0,9314440000.0,810.0,810.0,9314440810.0,0.0,0.0,9314440810.0,"{'mac': 1.0, 'ac': 1.0, 'mem_read': 0.0, 'mem_write': 0.0, 'neuron_update': 0.0}"
max,qat,int4,/root/autodl-tmp/LETNet/QAT_checkpoint/udd/SpikingLETNet_shallow_maxbs64gpu1_trainval20260613-170955/model_q_best_complete.pt,/root/autodl-tmp/LETNet/Network/configs/SpikingLETNet_shallow/1.3M.yaml,1,1,1,"[400, 400]",0.31032590275026284,7298880000.0,7290140000.0,159499.0,159499.0,7290299499.0,0.0,0.0,7290299499.0,"{'mac': 1.0, 'ac': 1.0, 'mem_read': 0.0, 'mem_write': 0.0, 'neuron_update': 0.0}"
middle,qat,int4,/root/autodl-tmp/LETNet/QAT_checkpoint/udd/SpikingLETNet_shallow_middlebs96gpu1_trainval20260613-155726/model_q_best_complete.pt,/root/autodl-tmp/LETNet/Network/configs/SpikingLETNet_shallow/1.3M.yaml,1,1,1,"[400, 400]",0.29953309717499216,8684560000.0,8681690000.0,41661.0,41661.0,8681731661.0,0.0,0.0,8681731661.0,"{'mac': 1.0, 'ac': 1.0, 'mem_read': 0.0, 'mem_write': 0.0, 'neuron_update': 0.0}"
small,qat,int4,/root/autodl-tmp/LETNet/QAT_checkpoint/udd/SpikingLETNet_shallow_smallbs64gpu1_trainval20260613-200147/model_q_best_complete.pt,/root/autodl-tmp/LETNet/Network/configs/SpikingLETNet_shallow/1.3M.yaml,1,1,1,"[400, 400]",0.3295947189326267,9320640000.0,9314440000.0,0.0,0.0,9314440000.0,0.0,0.0,9314440000.0,"{'mac': 1.0, 'ac': 1.0, 'mem_read': 0.0, 'mem_write': 0.0, 'neuron_update': 0.0}"
