effective_batch,images_per_second,input_residency,loss,method,mode,peak_allocated_bytes,peak_reserved_bytes,phase_backward_seconds,phase_bptt_backward_seconds,phase_host_to_device_seconds,phase_loss_seconds,phase_optimizer_step_seconds,phase_snn_forward_seconds,phase_student_forward_seconds,phase_teacher_forward_seconds,physical_batch,round,seconds_per_image,steady_allocated_bytes,time_steps,trial,wall_seconds
4,48.929296053528304,gpu,0.9052852392196655,qad,matched,3271757824,4324327424,0.02084556770324707,,,0.0004082239866256714,0.002489727973937988,,0.04099808120727539,0.013681440353393555,4,0,0.020437653525732458,56467456,1,0,0.08175061410292983
4,49.61754569256235,gpu,0.8313982486724854,qad,matched,3271757824,4324327424,0.020330495834350586,,,0.0003775039911270142,0.002385215997695923,,0.04120694351196289,0.012992639541625977,4,0,0.020154160913079977,56467456,1,1,0.08061664365231991
4,48.78701462209078,gpu,0.7562456130981445,qad,matched,3271757824,4324327424,0.021535743713378908,,,0.0003815999925136566,0.0023629438877105714,,0.0415120964050293,0.012839776039123535,4,0,0.020497257472015917,56467456,1,2,0.08198902988806367
4,47.022814033689635,gpu,0.7377834320068359,qad,matched,3271757824,4324327424,0.022544384002685547,,,0.00045020800828933716,0.0033836159706115724,,0.04124390411376953,0.012863167762756348,4,0,0.02126627299003303,56467456,1,3,0.08506509196013212
4,48.557567766714236,gpu,0.729863166809082,qad,matched,3271757824,4324327424,0.02443878364562988,,,0.0004471360146999359,0.0023619840145111086,,0.03879443359375,0.012940544128417969,4,0,0.020594112225808203,56467456,1,4,0.08237644890323281
4,49.78140431791426,gpu,0.7037891149520874,qad,matched,3271757824,4324327424,0.024060928344726562,,,0.0003774720132350922,0.0023505280017852783,,0.037263553619384764,0.012872703552246094,4,0,0.020087822224013507,56467456,1,5,0.08035128889605403
4,50.712347973377454,gpu,0.6549644470214844,qad,matched,3271757824,4324327424,0.02112512016296387,,,0.0003754560053348541,0.003219264030456543,,0.037329216003417966,0.012856096267700194,4,0,0.01971906330436468,56467456,1,6,0.07887625321745872
4,51.18536337728485,gpu,0.6339702010154724,qad,matched,3271757824,4324327424,0.02029465675354004,,,0.0003815999925136566,0.003235424041748047,,0.03749811172485352,0.012955264091491699,4,0,0.019536835025064647,56467456,1,7,0.07814734010025859
4,51.83552589119449,gpu,0.606440544128418,qad,matched,3271757824,4324327424,0.020199424743652345,,,0.0003826240003108978,0.002383487939834595,,0.037356769561767575,0.012840864181518554,4,0,0.01929178845603019,56467456,1,8,0.07716715382412076
4,50.374136911906426,gpu,0.5873307585716248,qad,matched,3271757824,4324327424,0.020204544067382812,,,0.0003775039911270142,0.002323103904724121,,0.037341472625732425,0.015201248168945313,4,0,0.019851456745527685,56467456,1,9,0.07940582698211074
4,49.73223038101403,gpu,0.5770801901817322,qad,matched,3271757824,4324327424,0.020355072021484375,,,0.0003846719861030579,0.002343103885650635,,0.03798803329467773,0.01592742443084717,4,0,0.02010768454056233,56467456,1,10,0.08043073816224933
4,49.45702049133385,gpu,0.5697355270385742,qad,matched,3271757824,4324327424,0.020354047775268554,,,0.0003826240003108978,0.0023529279232025148,,0.0407360954284668,0.01362224006652832,4,0,0.020219576312229037,56467456,1,11,0.08087830524891615
4,48.854948127963375,gpu,0.5503687262535095,qad,matched,3271757824,4324327424,0.020361215591430663,,,0.0003826240003108978,0.0023393919467926023,,0.042404159545898434,0.012921631813049317,4,0,0.020468755741603673,56467456,1,12,0.08187502296641469
4,49.82605956749038,gpu,0.5350117683410645,qad,matched,3271757824,4324327424,0.020238336563110353,,,0.0003775039911270142,0.002336735963821411,,0.041127201080322265,0.012816127777099609,4,0,0.02006981906015426,56467456,1,13,0.08027927624061704
4,49.546372637449174,gpu,0.5191879868507385,qad,matched,3271757824,4324327424,0.021424127578735352,,,0.000451231986284256,0.0023310399055480957,,0.0402209587097168,0.012898240089416504,4,0,0.020183112239465117,56467456,1,14,0.08073244895786047
4,49.47692009667691,gpu,0.5083646178245544,qad,matched,3271757824,4324327424,0.024259584426879883,,,0.0004471360146999359,0.0023261120319366456,,0.03758611297607422,0.012832703590393067,4,0,0.020211444003507495,56467456,1,15,0.08084577601402998
4,49.79042414460965,gpu,0.48979467153549194,qad,matched,3271757824,4324327424,0.02266214370727539,,,0.00037852799892425536,0.002724479913711548,,0.03735286331176758,0.012826815605163574,4,0,0.02008418319746852,56467456,1,16,0.08033673278987408
4,51.262771872226345,gpu,0.48411959409713745,qad,matched,3271757824,4324327424,0.02049228858947754,,,0.00037852799892425536,0.003216320037841797,,0.03723190307617188,0.012763936042785645,4,0,0.019507333752699196,56467456,1,17,0.07802933501079679
4,51.484640078988946,gpu,0.4742667078971863,qad,matched,3271757824,4324327424,0.020361215591430663,,,0.0003867200016975403,0.002800287961959839,,0.03748515319824219,0.013256192207336426,4,0,0.019423268735408783,56467456,1,18,0.07769307494163513
4,51.562284232107004,gpu,0.475177526473999,qad,matched,3271757824,4324327424,0.020350976943969725,,,0.0003805440068244934,0.0023458240032196045,,0.03729852676391601,0.013250495910644531,4,0,0.019394020549952984,56467456,1,19,0.07757608219981194
4,10.612152825795613,gpu,1.841988444328308,squat,matched,15115188224,20786970624,,0.21878012084960938,,0.00010073599964380265,0.004398111820220947,0.15082518005371093,,,4,0,0.09423158678691834,45798912,8,0,0.37692634714767337
4,10.897656703058225,gpu,1.7704493999481201,squat,matched,15115188224,20786970624,,0.2151183319091797,,0.00010105600208044052,0.0027297921180725097,0.14613865661621095,,,4,0,0.09176284656859934,45798912,8,1,0.3670513862743974
4,10.660609031654337,gpu,1.6320277452468872,squat,matched,15115188224,20786970624,,0.220106201171875,,0.00010201600193977356,0.003826080083847046,0.1484525146484375,,,4,0,0.09380327118560672,45798912,8,2,0.3752130847424269
4,10.75755410875829,gpu,1.5418051481246948,squat,matched,15115188224,20786970624,,0.22056243896484376,,0.00010195200145244598,0.0026589438915252685,0.14615122985839843,,,4,0,0.09295793354976922,45798912,8,3,0.3718317341990769
4,10.781379449472468,gpu,1.5354104042053223,squat,matched,15115188224,20786970624,,0.21947596740722655,,0.00010105600208044052,0.002541152000427246,0.1463177947998047,,,4,0,0.09275250951759517,45798912,8,4,0.3710100380703807
4,10.658336699099976,gpu,1.4854551553726196,squat,matched,15115188224,20786970624,,0.21890406799316406,,0.00010195200145244598,0.0029909439086914062,0.15069847106933593,,,4,0,0.0938232698244974,45798912,8,5,0.3752930792979896
4,10.912247198941378,gpu,1.3846417665481567,squat,matched,15115188224,20786970624,,0.21377891540527344,,0.0001003199964761734,0.002919008016586304,0.14712460327148438,,,4,0,0.09164015273563564,45798912,8,6,0.36656061094254255
4,11.064847178367645,gpu,1.341905951499939,squat,matched,15115188224,20786970624,,0.21391360473632812,,0.00010201600193977356,0.0025933759212493895,0.14257785034179687,,,4,0,0.09037630469538271,45798912,8,7,0.36150521878153086
4,10.660278796956659,gpu,1.312272548675537,squat,matched,15115188224,20786970624,,0.2205655059814453,,9.990400075912476e-05,0.0036868159770965577,0.14822377014160157,,,4,0,0.09380617702845484,45798912,8,8,0.37522470811381936
4,10.788401094938362,gpu,1.2307814359664917,squat,matched,15115188224,20786970624,,0.21924044799804687,,0.00010195200145244598,0.0025711040496826172,0.1462464294433594,,,4,0,0.09269214142113924,45798912,8,9,0.37076856568455696
4,10.671184505418516,gpu,1.2066268920898438,squat,matched,15115188224,20786970624,,0.22210765075683594,,0.0001029760017991066,0.0027179200649261473,0.14712448120117189,,,4,0,0.093710309243761,45798912,8,10,0.374841236975044
4,10.763019319197934,gpu,1.1642799377441406,squat,matched,15115188224,20786970624,,0.21983436584472657,,0.00010204800218343735,0.002565023899078369,0.14648959350585938,,,4,0,0.09291073167696595,45798912,8,11,0.3716429267078638
4,10.867605827432245,gpu,1.143957257270813,squat,matched,15115188224,20786970624,,0.2141009979248047,,0.00010201600193977356,0.0028360960483551027,0.14854051208496094,,,4,0,0.09201658726669848,45798912,8,12,0.3680663490667939
4,10.963903864343369,gpu,1.097316026687622,squat,matched,15115188224,20786970624,,0.213928955078125,,0.00010092800110578536,0.0029314560890197753,0.1452562561035156,,,4,0,0.09120838821399957,45798912,8,13,0.3648335528559983
4,10.733111847199108,gpu,1.055552363395691,squat,matched,15115188224,20786970624,,0.21611212158203125,,0.00010192000120878219,0.003901376008987427,0.14909968566894533,,,4,0,0.09316962445154786,45798912,8,14,0.37267849780619144
4,10.697351057551852,gpu,1.0725438594818115,squat,matched,15115188224,20786970624,,0.21956198120117187,,9.993600100278855e-05,0.003907423973083496,0.14771705627441406,,,4,0,0.0934810865437612,45798912,8,15,0.3739243461750448
4,10.721619089943465,gpu,1.0414999723434448,squat,matched,15115188224,20786970624,,0.21940374755859374,,9.996800124645233e-05,0.0028649599552154543,0.14782815551757814,,,4,0,0.09326949517708272,45798912,8,16,0.37307798070833087
4,10.70084321268488,gpu,1.0149164199829102,squat,matched,15115188224,20786970624,,0.22142771911621092,,0.00010179200023412704,0.002927167892456055,0.14631639099121094,,,4,0,0.09345057955943048,45798912,8,17,0.3738023182377219
4,10.85156761600356,gpu,1.032758116722107,squat,matched,15115188224,20786970624,,0.21669888305664062,,0.00010006400197744369,0.002581984043121338,0.14691264343261717,,,4,0,0.09215258434414864,45798912,8,18,0.36861033737659454
4,10.822945116211956,gpu,0.9916669726371765,squat,matched,15115188224,20786970624,,0.21408665466308593,,0.00010201600193977356,0.0031144959926605225,0.14883071899414063,,,4,0,0.0923962922533974,45798912,8,19,0.3695851690135896
64,109.38444833880841,cpu,0.5771420001983643,qad,capacity,25776707584,31618760704,0.1963274230957031,,0.003766975998878479,0.0026544960737228396,0.0036166720390319825,,0.2390889587402344,0.13027142333984376,32,0,0.009142067407083232,43987456,1,0,0.5850923140533268
