method,first_input,miou,delta_vs_input_a4_miou_points,iou_background,iou_facade,iou_road,iou_vegetation,iou_vehicle,iou_roof,checkpoint_epoch,evaluated_batches,elapsed_seconds
qad,a4,0.6195473169172718,0.0,0.4901700688908935,0.5768358315111254,0.5958942730379632,0.8745987569537662,0.39856164491253276,0.7812233261973497,119,424,46.585943076061085
qad,fp,0.6227541988645996,0.32068819473277665,0.4883626869746998,0.5725381958712902,0.6023007172732268,0.8839696585798038,0.41459719041984616,0.7747567440687309,119,424,45.85351872514002
ste,a4,0.5812704988267746,0.0,0.4384235281893583,0.5329594481560379,0.5620176241940578,0.8399892819892196,0.35059753183394815,0.7636355785980256,14,424,45.98051469493657
ste,fp,0.5860231774250438,0.4752678598269222,0.44439678633341045,0.5394408530888208,0.5608135836135052,0.8627397926087306,0.34827220112352797,0.7604758477822681,14,424,45.952202279120684
