epoch,train_loss,miou,iou_background,iou_facade,iou_road,iou_vegetation,iou_vehicle,iou_roof,model_lr,quantizer_lr,train_batches,validation_batches,train_seconds,validation_seconds
1,0.8217052326832627,0.4327791494720432,0.3097679936154964,0.2732025442658719,0.39363567537413346,0.8095098231933437,0.22591453980075904,0.5846443205826545,0.0009940129676867249,9.94012967686725e-06,401,424,304.6234571188688,38.36673584766686
2,0.7330118407335068,0.4731567557693214,0.35566249451479387,0.419032997222401,0.3744056040178439,0.8238124541661307,0.2638539836458125,0.6021730010489464,0.0009880069432915259,9.88006943291526e-06,401,424,298.76037411019206,37.40552672743797
3,0.7117625812342636,0.44217653060059803,0.3029738759926016,0.3704788255908552,0.37438861726984957,0.8222914600789468,0.19563069436854202,0.5872957103027929,0.0009819968594364196,9.819968594364195e-06,401,424,299.75409766472876,37.905852446332574
4,0.71160214663741,0.4565560832161908,0.33723192978767247,0.3524281018131964,0.4157332064219857,0.8342243165819685,0.21389045532077094,0.5858284893715507,0.0009759826857342084,9.759826857342084e-06,401,424,299.5580217912793,37.50217361189425
5,0.694534682722163,0.49382221676819144,0.36265225516529587,0.3898074318666586,0.45261705558410814,0.8372000702081598,0.2718351968796287,0.6488212909052973,0.0009699643913604667,9.699643913604669e-06,401,424,299.39848941378295,37.63998608291149
6,0.6980614133011968,0.49943847731715607,0.3775005078187198,0.4337562528944477,0.4362631182799738,0.8352833310038789,0.2928129323663204,0.6210147215395959,0.0009639419450441902,9.639419450441903e-06,401,424,298.86284772120416,37.813262516632676
7,0.6880616154753953,0.39654369631584735,0.273292403974298,0.35834950950671557,0.2638036564191121,0.8092572942332787,0.14057542660134786,0.533983887160332,0.0009579153150581766,9.579153150581766e-06,401,424,298.55882471613586,37.94617063552141
8,0.6981249704325289,0.4398904994878144,0.27960818556404604,0.3425494010777801,0.3707821853899418,0.7798899039247678,0.23725904863125905,0.6292542723390917,0.0009518844692091346,9.518844692091348e-06,401,424,299.39454383961856,57.23906313627958
9,0.6951018259709613,0.34978498039461536,0.2899655175901671,0.33395069341433803,0.22250975400939704,0.7455958939859507,0.11106906890338178,0.39561895446445733,0.0009458493748275042,9.458493748275043e-06,401,424,513.3116439022124,119.1889422480017
10,0.6905383690634274,0.48182510436896026,0.3515158663631201,0.41522530975929994,0.4733375466103286,0.8272717470304569,0.30132298725269213,0.5222771691978636,0.0009398099987569807,9.398099987569807e-06,401,424,298.6302021667361,37.64509342610836
11,0.683051759688337,0.507469437176843,0.3618176415944063,0.4443373890922903,0.47805142594366723,0.8172107147486635,0.3078401649124382,0.635559286769592,0.0009337663073437344,9.337663073437344e-06,401,424,297.9719444718212,37.60694436356425
