epoch,train_loss,miou,model_lr,train_batches,validation_batches,train_seconds,validation_seconds
1,0.8579833003648202,0.5022921562194824,0.0009940129676867249,401,424,245.49812336824834,32.8796495012939
2,0.7988374179735446,0.5209180116653442,0.0009880069432915259,401,424,238.7765053231269,31.069629045203328
3,0.7988761987472116,0.5437522530555725,0.0009819968594364196,401,424,237.97516733780503,31.130629939958453
4,0.7979361908394202,0.5256426334381104,0.0009759826857342084,401,424,237.99639579840004,31.141798635944724
5,0.7852101327475169,0.5447558760643005,0.0009699643913604667,401,424,238.54126917943358,31.164757953956723
6,0.7751343962260315,0.5527311563491821,0.0009639419450441902,401,424,238.04085669107735,31.16882798448205
7,0.7701767489797159,0.5747121572494507,0.0009579153150581766,401,424,238.25218728370965,31.12456182204187
8,0.7721998122267593,0.5684483051300049,0.0009518844692091346,401,424,238.46138424612582,31.33711390197277
9,0.766940339099142,0.5520346760749817,0.0009458493748275042,401,424,238.26371911540627,31.28437331877649
10,0.7596834813270188,0.5136638879776001,0.0009398099987569807,401,424,238.19490173645318,31.19473758712411
11,0.7594976499490904,0.5430477857589722,0.0009337663073437344,401,424,238.4658102337271,31.188872192054987
12,0.7532713484585731,0.5925885438919067,0.0009277182664253095,401,424,238.0974959526211,31.39452445693314
13,0.7575766902017474,0.5860899686813354,0.0009216658413191943,401,424,238.19397348724306,31.26983566582203
14,0.7538736642447493,0.5978655815124512,0.0009156089968110495,401,424,238.1756177507341,31.863937072455883
15,0.760836997828876,0.5421591401100159,0.0009095476971425803,401,424,238.1448044348508,31.33212159946561
16,0.746598743887019,0.5687028765678406,0.0009034819059990411,401,424,238.12067055515945,31.29547538049519
17,0.7434544028189414,0.5638113021850586,0.0008974115864963575,401,424,237.91081507503986,31.26262889802456
18,0.7537775793277712,0.57320237159729,0.0008913367011678507,401,424,238.2243693675846,31.240276485681534
19,0.7444929983699113,0.5800186395645142,0.0008852572119505499,401,424,237.96544613689184,31.280395602807403
20,0.7387799244569127,0.545943558216095,0.0008791730801710756,401,424,237.79808736406267,32.755498776212335
21,0.7310659555425668,0.5566513538360596,0.0008730842665310786,401,424,238.5189589522779,31.277907568961382
22,0.742486996395035,0.5247533917427063,0.0008669907310922142,401,424,238.04908601939678,31.292489103972912
23,0.7388582937140714,0.5627263188362122,0.0008608924332606365,401,424,237.91797089204192,31.314712019637227
24,0.7332989664149105,0.5384247303009033,0.0008547893317709919,401,424,238.20233051292598,31.286310356110334
25,0.7264784131561431,0.5679779052734375,0.0008486813846698896,401,424,237.80617604777217,31.15735077112913
26,0.7279350429104451,0.545674204826355,0.0008425685492988323,401,424,237.99343268200755,31.264587631449103
27,0.7310615889449369,0.5262987613677979,0.0008364507822765806,401,424,237.88365783542395,31.189564740285277
28,0.7325631601554794,0.5790568590164185,0.00083032803948093,401,424,238.04304149746895,31.263562189415097
29,0.7266521385483017,0.5398561358451843,0.000824200276029874,401,424,237.59287664853036,31.215145226567984
30,0.725011856627286,0.5506556034088135,0.000818067446262131,401,424,237.60521925985813,31.25743316859007
31,0.7213722238516868,0.5434460043907166,0.0008119295037170033,401,424,237.70340923778713,31.23687282949686
32,0.7245947149329055,0.5498212575912476,0.0008057864011135426,401,424,237.74083638750017,31.31092700175941
33,0.7250700977972321,0.5738518238067627,0.0007996380903289922,401,424,238.04677121154964,31.254886267706752
34,0.7220850958491204,0.5723751783370972,0.0007934845223764714,401,424,238.435043675825,31.317664623260498
35,0.7158365542454612,0.5792039036750793,0.0007873256473818732,401,424,237.98456481285393,31.366308039054275
36,0.7195265484866953,0.5196096897125244,0.0007811614145599355,401,424,237.94892272166908,31.253949400037527
37,0.7171528186286774,0.561406135559082,0.0007749917721894537,401,424,238.2308699451387,31.255605025216937
38,0.7190844178794328,0.5680592060089111,0.0007688166675875914,401,424,237.73746225610375,31.2320984788239
39,0.7250140990105056,0.565800130367279,0.0007626360470832516,401,424,237.83512738533318,31.198351364582777
40,0.7170810329349261,0.5441534519195557,0.0007564498559894636,401,424,237.9094335641712,31.2315347250551
41,0.7172510986613514,0.5843295454978943,0.0007502580385747388,401,424,238.25480865873396,31.926718099042773
42,0.7145622463297665,0.5762487649917603,0.0007440605380333515,401,424,238.20451680012047,31.274178521707654
43,0.7096632484188699,0.5467490553855896,0.0007378572964544873,401,424,238.01239233277738,31.311377881094813
44,0.712518036068229,0.5819966793060303,0.0007316482547902116,401,424,238.23469001054764,31.30500908382237
45,0.7015223122594363,0.5979357957839966,0.000725433352822197,401,424,237.8702834509313,31.235365038737655
46,0.7109668219178692,0.5897394418716431,0.000719212529127151,401,424,237.9011502955109,31.158063665032387
47,0.7082753248345525,0.5726922750473022,0.0007129857210408809,401,424,237.87487538903952,31.22920505516231
48,0.7109248537077868,0.5701375007629395,0.000706752864620926,401,424,238.11273271776736,31.1742127481848
49,0.7114588854616123,0.5930315852165222,0.0007005138946076883,401,424,237.9246842879802,31.22306202724576
50,0.6941948155512536,0.5488098859786987,0.000694268744383984,401,424,237.92951788939536,31.216212147846818
51,0.710196802443697,0.5599719285964966,0.0006880173459329353,401,424,238.14680357649922,31.217045759782195
52,0.7064015859380327,0.5630895495414734,0.0006817596297941178,401,424,237.94947423040867,31.300200192257762
53,0.7013120291536289,0.578702449798584,0.0006754955250178724,401,424,238.20633618347347,31.294712159782648
54,0.7014204553535157,0.6061028242111206,0.000669224959117684,401,424,238.1942240279168,31.17073498107493
55,0.6998359115046456,0.5787507891654968,0.0006629478580205268,401,424,238.09399808384478,31.239039726555347
56,0.7046737430101618,0.5616729259490967,0.0006566641460150637,401,424,237.69501203484833,31.21535149589181
57,0.7026694736575843,0.5656249523162842,0.0006503737456975854,401,424,237.9820465464145,31.137427542358637
58,0.699153184296187,0.6030400991439819,0.0006440765779155654,401,424,237.89027585648,31.31633736565709
59,0.7002597119742795,0.5580706596374512,0.0006377725617086982,401,424,237.93919887021184,31.264589596539736
60,0.6946859567837228,0.5694400072097778,0.0006314616142472774,401,424,238.12075827084482,31.077749321237206
61,0.6998105178450111,0.5851048827171326,0.0006251436507677669,401,424,237.7949216403067,31.22823904082179
62,0.7001400283744508,0.5512042045593262,0.0006188185845054015,401,424,237.73753014579415,31.18102916702628
63,0.7005738077912842,0.5434910655021667,0.0006124863266236448,401,424,237.93605795502663,31.126558059826493
64,0.6901865020357165,0.5676984190940857,0.0006061467861403206,401,424,237.65817328169942,31.295706259086728
65,0.6975840116082285,0.5933646559715271,0.0005997998698502216,401,424,237.7600228842348,31.1618578620255
66,0.6912305451688029,0.5559530854225159,0.0005934454822439811,401,424,238.01308842748404,31.20693477615714
67,0.6963642044852202,0.5867245197296143,0.0005870835254229821,401,424,237.91390794701874,31.265102960169315
68,0.6970663955086782,0.5903559327125549,0.0005807138990100624,401,424,237.5479032881558,31.152487076818943
69,0.6977360175732068,0.5820282697677612,0.0005743365000557488,401,424,237.79846283979714,31.191254880279303
70,0.6975051258270283,0.5857435464859009,0.0005679512229397437,401,424,237.99224660173059,31.216185979545116
71,0.6975252033766368,0.5329241752624512,0.0005615579592673594,401,424,237.89878787100315,31.659406760707498
72,0.6888463315821051,0.5952572822570801,0.0005551565977605726,401,424,237.67635578289628,31.170098081231117
73,0.6881629690862356,0.6021829843521118,0.0005487470241433482,401,424,238.05727920122445,31.2337594255805
74,0.6969290307335129,0.561598002910614,0.0005423291210208529,401,424,237.97147376835346,31.197144078090787
75,0.6902620038784055,0.5553961992263794,0.0005359027677521474,401,424,238.09192680381238,31.149031914770603
76,0.6955347524914064,0.5476717948913574,0.0005294678403159141,401,424,238.0307829771191,31.17086447030306
77,0.6973949111905181,0.5348040461540222,0.0005230242111687382,401,424,237.86752476729453,31.15900039114058
78,0.6947931297996692,0.5167093873023987,0.0005165717490954254,401,424,238.11576709151268,31.23361792229116
79,0.6928730709594384,0.5559958219528198,0.0005101103190507864,401,424,237.90796238929033,31.23192286118865
80,0.6884450086037119,0.5616704225540161,0.0005036397819922788,401,424,238.07957413978875,31.1355015989393
81,0.6947765155623381,0.567502498626709,0.0004971599947028389,401,424,238.1027540434152,31.218547247350216
82,0.6854431421084891,0.5944939851760864,0.000490670809603176,401,424,237.93416723050177,31.20931300148368
