epoch,train_loss,miou,iou_background,iou_facade,iou_road,iou_vegetation,iou_vehicle,iou_roof,model_lr,quantizer_lr,train_batches,validation_batches,train_seconds,validation_seconds
1,0.6132647660456394,0.5528357820457139,0.3900774059261762,0.51735446366935,0.5147209768934139,0.8315623999697698,0.35099982716061967,0.7122996186549543,0.0009940129676867249,0.0009940129676867249,401,424,184.27264783717692,34.763601737096906
2,0.5907390809564519,0.4852324193179824,0.3590822816375868,0.4661360197066606,0.4418933511833285,0.7011395924583178,0.25086036186910354,0.6922829090528968,0.0009880069432915259,0.0009880069432915259,401,424,180.46470787376165,33.65506951324642
3,0.562856026792764,0.5615366528002944,0.4444416465624378,0.5265823101493866,0.4559126907668941,0.8575310846979206,0.36768926595650214,0.717062918668625,0.0009819968594364196,0.0009819968594364196,401,424,180.42683289386332,33.75175696797669
4,0.5574672861289502,0.5680056189404583,0.4145234833315648,0.46004631087688497,0.5369190043541963,0.845406887042044,0.3966818244809938,0.7544562035570662,0.0009759826857342084,0.0009759826857342084,401,424,180.4519444387406,33.609078004956245
5,0.5524829164556138,0.5446022218075992,0.41686008831721694,0.4651604571550651,0.4922600092802086,0.7992046270612282,0.3931014877660215,0.7010266612658551,0.0009699643913604667,0.0009699643913604667,401,424,181.11305972002447,34.25882250443101
6,0.5428837481282298,0.5769485838471287,0.43723935599730535,0.5297557893901486,0.5320630568153719,0.8561804274760061,0.3559767458325904,0.7504761275713497,0.0009639419450441902,0.0009639419450441902,401,424,180.19947886653244,33.581948183476925
7,0.5428550183178481,0.5510739471261643,0.394763235865046,0.480593631483051,0.5420061984002454,0.8554345884205703,0.38238170706451424,0.6512643215235593,0.0009579153150581766,0.0009579153150581766,401,424,180.44927916489542,34.03511018306017
8,0.5349145927036789,0.5455175738932287,0.3906374425527539,0.41428835389177293,0.5403703766005831,0.8520048359421993,0.3703907547117956,0.7054136796602678,0.0009518844692091346,0.0009518844692091346,401,424,180.05643343925476,33.63232420757413
9,0.5485562355143768,0.5786608035359716,0.4234767584541837,0.5421362403988239,0.5513570720659114,0.8597500726766841,0.3531425710382818,0.742102106581945,0.0009458493748275042,0.0009458493748275042,401,424,180.31526485085487,34.25815351679921
10,0.5377079607393973,0.5621331171407753,0.3968855240268255,0.5200686015309683,0.4982079049759505,0.8570953427781206,0.38293388708606696,0.7176074424467199,0.0009398099987569807,0.0009398099987569807,401,424,179.8492241129279,34.243858156725764
11,0.5441344037020296,0.5758004164668753,0.4578237714372444,0.4839161774118262,0.4963949366580076,0.8581906323003325,0.40016346554135607,0.7583135154524848,0.0009337663073437344,0.0009337663073437344,401,424,179.95326237380505,33.968012884259224
12,0.5405785156009798,0.5247124903216657,0.3846169930392611,0.3445765957328017,0.5362591958271683,0.8563118047362709,0.3263233166821704,0.7001870359123212,0.0009277182664253095,0.0009277182664253095,401,424,179.72194580361247,33.8746601678431
13,0.5391874476858505,0.5704128055584496,0.44111050984650385,0.5431036842704449,0.49429282846538425,0.8605182559186806,0.3454514604017154,0.7380000944479687,0.0009216658413191943,0.0009216658413191943,401,424,179.8507216628641,34.67696641758084
14,0.5316205819943302,0.5813407428164983,0.43733416321057933,0.5331413502999498,0.5619200442015041,0.8398953999880606,0.3508423485595644,0.7649111506393313,0.0009156089968110495,0.0009156089968110495,401,424,179.85803500935435,33.94628259167075
15,0.5302082255594154,0.5694151117565648,0.42216656914514894,0.5063919277162884,0.5143473500067862,0.8531028939592021,0.37076995377560423,0.7497119759363591,0.0009095476971425803,0.0009095476971425803,401,424,179.837540557608,34.27345800958574
16,0.5307066665771893,0.5734571864073893,0.39764689748610993,0.5067581140334528,0.5620602356533105,0.8467771756819144,0.3775423088895669,0.749958386699981,0.0009034819059990411,0.0009034819059990411,401,424,180.24717804789543,34.410227600485086
