feature_index,normalized_mse_qad_mean,normalized_mse_ste_mean,normalized_mse_qad_minus_ste,normalized_mse_qad_minus_ste_cluster_bootstrap_95ci,normalized_mse_relative_reduction_fraction,normalized_mse_relative_reduction_cluster_bootstrap_95ci,normalized_mse_paired_effect_dz,normalized_mse_qad_lower_source_count,normalized_mse_qad_higher_source_count,normalized_mse_equal_source_count,normalized_mse_source_count,normalized_mse_two_sided_exact_sign_p,cosine_distance_qad_mean,cosine_distance_ste_mean,cosine_distance_qad_minus_ste,cosine_distance_qad_minus_ste_cluster_bootstrap_95ci,cosine_distance_relative_reduction_fraction,cosine_distance_relative_reduction_cluster_bootstrap_95ci,cosine_distance_paired_effect_dz,cosine_distance_qad_lower_source_count,cosine_distance_qad_higher_source_count,cosine_distance_equal_source_count,cosine_distance_source_count,cosine_distance_two_sided_exact_sign_p,mse_qad_mean,mse_ste_mean,mse_qad_minus_ste,mse_qad_minus_ste_cluster_bootstrap_95ci,mse_relative_reduction_fraction,mse_relative_reduction_cluster_bootstrap_95ci,mse_paired_effect_dz,mse_qad_lower_source_count,mse_qad_higher_source_count,mse_equal_source_count,mse_source_count,mse_two_sided_exact_sign_p,mae_qad_mean,mae_ste_mean,mae_qad_minus_ste,mae_qad_minus_ste_cluster_bootstrap_95ci,mae_relative_reduction_fraction,mae_relative_reduction_cluster_bootstrap_95ci,mae_paired_effect_dz,mae_qad_lower_source_count,mae_qad_higher_source_count,mae_equal_source_count,mae_source_count,mae_two_sided_exact_sign_p
1,0.8657165596901157,0.9046217148572614,-0.03890515516714566,"[-0.04811708250618893, -0.029600726868760363]",0.04300709846798717,"[0.033007543889394975, 0.052619737933977305]",-1.3716654828339343,32,3,0,35,4.176981747150421e-07,0.44871288772211904,0.45339158410334496,-0.004678696381225857,"[-0.007441755953014301, -0.0020597866634714996]",0.010319327806842289,"[0.004541552412504545, 0.016451856045586796]",-0.5563134991531157,23,12,0,35,0.0895310789346695,0.23455984303000804,0.24527521815839823,-0.010715375128390171,"[-0.013396225362555388, -0.008074260562462236]",0.043687149516549284,"[0.033534095815527624, 0.05349248260702217]",-1.3078545140972122,32,3,0,35,4.176981747150421e-07,0.21222458823509666,0.21587260551742077,-0.003648017282324114,"[-0.005536006511983084, -0.0016990158632770533]",0.016898935710625493,"[0.00793613887116284, 0.025280531072300556]",-0.6189324894678906,25,10,0,35,0.01667384780012071
2,0.913789151291939,1.0108814412515967,-0.09709228995965762,"[-0.10528096306930562, -0.08920388217823093]",0.09604715844762703,"[0.08890050861860717, 0.10342414528016193]",-3.9937015947173307,35,0,0,35,5.820766091346741e-11,0.5022150140029547,0.519109776381945,-0.01689476237899058,"[-0.020833062400724404, -0.013010028280607202]",0.032545644770441966,"[0.025145715162668506, 0.040157686845886505]",-1.4088317549053235,32,3,0,35,4.176981747150421e-07,0.12445628411989795,0.13738088987647692,-0.012924605756578946,"[-0.013765860793333777, -0.012143943294508592]",0.09407862889954967,"[0.08716494734234892, 0.1015185413355971]",-5.160602182450354,35,0,0,35,5.820766091346741e-11,0.10882846027457034,0.11671114009129968,-0.007882679816729321,"[-0.008641047449315247, -0.007170848833915142]",0.06754008066893145,"[0.0604616249308672, 0.07506112496124215]",-3.493462815053834,35,0,0,35,5.820766091346741e-11
3,0.7607606987258283,0.9192362763877041,-0.15847557766187567,"[-0.17284731557858887, -0.1450253769794028]",0.17239917715675088,"[0.16077546430285478, 0.18391113187574257]",-3.7377933437350537,35,0,0,35,5.820766091346741e-11,0.42617631876198486,0.44040248041035035,-0.014226161648365477,"[-0.01911808478690552, -0.009513158225324907]",0.032302637430902045,"[0.021749552199671236, 0.04304848251475064]",-0.9747574964576546,30,5,0,35,2.2361520677804947e-05,0.19218508147153598,0.23130814578410316,-0.03912306431256713,"[-0.042229186946831365, -0.03607547779739529]",0.1691382903094282,"[0.15852348691705132, 0.1796179343135939]",-4.151112582691907,35,0,0,35,5.820766091346741e-11,0.16758075923737922,0.19332623423737916,-0.025745475,"[-0.027538262305316863, -0.024068899292427493]",0.133171139972591,"[0.12447987157716063, 0.142406434127957]",-4.794943871166584,35,0,0,35,5.820766091346741e-11
4,0.7842435935159466,0.9026394475955145,-0.11839585407956794,"[-0.134497323952947, -0.10285345733897923]",0.13116627507800072,"[0.11260379167087431, 0.15000648955732648]",-2.444066247173123,35,0,0,35,5.820766091346741e-11,0.42832713646461823,0.40709386640247497,0.02123327006214323,"[0.014862288720479207, 0.028620588682178674]",-0.052158167475682145,"[-0.0691886748636123, -0.037030688188021146]",1.0036275942186799,0,35,0,35,5.820766091346741e-11,0.23934977589957035,0.27870002773899033,-0.03935025183941999,"[-0.04641140228450591, -0.03244610427329485]",0.14119213463542418,"[0.12300988362849709, 0.15848538752523936]",-1.8566907216599298,35,0,0,35,5.820766091346741e-11,0.21000345984156824,0.22406786194951664,-0.01406440210794844,"[-0.01714353776718582, -0.011124304068541887]",0.062768493373303,"[0.05156343814972703, 0.0738498056622446]",-1.510822585096769,32,3,0,35,4.176981747150421e-07
5,0.6565244254954437,0.706641331167991,-0.050116905672547486,"[-0.0603035845795962, -0.03997331326683813]",0.07092269226555185,"[0.05528728095360422, 0.08740573733869532]",-1.6168363685561142,34,1,0,35,2.0954757928848267e-09,0.3376696350582149,0.34615285598445367,-0.008483220926238804,"[-0.014426400575254674, -0.0022175051313746506]",0.024507152778250548,"[0.006294646256924651, 0.0415772939938946]",-0.4512932707577215,26,9,0,35,0.0059881205670535564,0.32856862038802365,0.35743263487513427,-0.028864014487110637,"[-0.036278731727393265, -0.02160935544063843]",0.08075371880128963,"[0.062915850140672, 0.09773466592502361]",-1.2932968715716977,34,1,0,35,2.0954757928848267e-09,0.28967307453007524,0.2805593152322771,0.009113759297798072,"[0.0068577689868085465, 0.011326238660546464]",-0.0324842512901515,"[-0.04098301097175758, -0.024004913897578455]",1.3439759236965614,6,29,0,35,0.0001168418675661087
6,0.1864485302583646,1.6715491209021553,-1.4851005906437909,"[-1.5991553325359298, -1.3780822473048413]",0.8884576421195831,"[0.8764097649359897, 0.8999835330408482]",-4.432012179584097,35,0,0,35,5.820766091346741e-11,0.09650124180613412,0.19180906679267137,-0.09530782498653723,"[-0.10040659346988039, -0.09013130765030077]",0.4968890500340976,"[0.46669974754228466, 0.5267440987605899]",-5.911394860580959,35,0,0,35,5.820766091346741e-11,0.8507600272084106,7.940512025258249,-7.089751998049838,"[-7.918736410853388, -6.367058092639089]",0.8928582911905178,"[0.8807449846391188, 0.9038163865669286]",-2.9721491479865447,35,0,0,35,5.820766091346741e-11,0.4047788696307156,1.1861121189763086,-0.781333249345593,"[-0.8335485833364689, -0.7319495699612975]",0.6587347324466545,"[0.6423916297533809, 0.6744968179372509]",-4.9066057374704535,35,0,0,35,5.820766091346741e-11
