stage,layer_count,disagreement_qad_mean,disagreement_ste_mean,disagreement_qad_minus_ste,disagreement_qad_minus_ste_cluster_bootstrap_95ci,disagreement_relative_reduction_fraction,disagreement_relative_reduction_cluster_bootstrap_95ci,disagreement_paired_effect_dz,disagreement_qad_lower_source_count,disagreement_qad_higher_source_count,disagreement_equal_source_count,disagreement_source_count,disagreement_two_sided_exact_sign_p,mae_qad_mean,mae_ste_mean,mae_qad_minus_ste,mae_qad_minus_ste_cluster_bootstrap_95ci,mae_relative_reduction_fraction,mae_relative_reduction_cluster_bootstrap_95ci,mae_paired_effect_dz,mae_qad_lower_source_count,mae_qad_higher_source_count,mae_equal_source_count,mae_source_count,mae_two_sided_exact_sign_p,signed_error_qad_mean,signed_error_ste_mean,signed_error_qad_minus_ste,signed_error_qad_minus_ste_cluster_bootstrap_95ci,signed_error_relative_reduction_fraction,signed_error_relative_reduction_cluster_bootstrap_95ci,signed_error_paired_effect_dz,signed_error_qad_lower_source_count,signed_error_qad_higher_source_count,signed_error_equal_source_count,signed_error_source_count,signed_error_two_sided_exact_sign_p,zero_delta_qad_mean,zero_delta_ste_mean,zero_delta_qad_minus_ste,zero_delta_qad_minus_ste_cluster_bootstrap_95ci,zero_delta_relative_reduction_fraction,zero_delta_relative_reduction_cluster_bootstrap_95ci,zero_delta_paired_effect_dz,zero_delta_qad_lower_source_count,zero_delta_qad_higher_source_count,zero_delta_equal_source_count,zero_delta_source_count,zero_delta_two_sided_exact_sign_p
decoder_4,13,0.04028932150396596,0.035710676851813596,0.00457864465215236,"[0.004089131977066638, 0.005063678626786749]",-0.1282150061493398,"[-0.13794237403603657, -0.1177286504438262]",3.084611826097403,0,35,0,35,5.820766091346741e-11,0.044045258515450714,0.038541887703461945,0.005503370811988763,"[0.004859501116587829, 0.006149383920334833]",-0.14278934271022847,"[-0.15485708072876936, -0.1299004362508113]",2.813505598481496,0,35,0,35,5.820766091346741e-11,0.0024076552084194005,0.0020333096690903084,0.0003743455393290919,"[-0.0006130484730800216, 0.0013796777410301161]",-0.18410650626403222,"[-0.8427784017654874, 0.26633224848265064]",0.12374963680977497,16,19,0,35,0.7358788008568808,-0.0008307715235891928,-0.0007530036540527141,-7.776786953647858e-05,"[-0.0008020889455868382, 0.0006553452073865978]",-0.10327688201501682,"[-2.1845701908505073, 0.6831105732840159]",-0.03488674588403722,18,17,0,35,1.0
decoder_5,13,0.12512416582536354,0.11634085921827234,0.008783306607091219,"[0.008063415102073094, 0.009475531959631646]",-0.07549631888666426,"[-0.08176589323756324, -0.06952216643488976]",4.072180154356808,0,35,0,35,5.820766091346741e-11,0.15385195464141121,0.1402431683410105,0.013608786300400728,"[0.012263512705204803, 0.014968754644922746]",-0.09703707111999962,"[-0.10657701572398072, -0.08768727662367694]",3.2797979677223763,0,35,0,35,5.820766091346741e-11,0.010356072033793275,-0.004256632218251673,0.014612704252044946,"[0.011471780191713833, 0.01768529936341971]",3.4329261967684928,"[2.377164883752977, 6.429378215318732]",1.512654833769009,3,32,0,35,4.176981747150421e-07,0.0010028243552734858,0.007038343190479633,-0.006035518835206147,"[-0.007284981943862059, -0.0047637723897806855]",0.8575198270198093,"[0.7125632467067236, 1.00964834136381]",-1.5313558103905252,32,3,0,35,4.176981747150421e-07
decoder_6,13,0.24838661741633017,0.2257640436940996,0.022622573722230546,"[0.021344356869164673, 0.02396695884573911]",-0.10020450268370971,"[-0.10729367408757232, -0.09364964558405378]",5.6233675391845335,0,35,0,35,5.820766091346741e-11,0.345595425614517,0.2889273036297819,0.05666812198473517,"[0.05350187974855794, 0.059944852543405085]",-0.19613280320972018,"[-0.21049886016589817, -0.18253626131116246]",5.638239014871943,0,35,0,35,5.820766091346741e-11,0.046409086604560855,0.0035355814284165083,0.04287350517614434,"[0.03881984030326611, 0.04689641662486187]",-12.12629550306984,"[-58.644603280473774, -5.64006796389271]",3.4930672962706284,0,35,0,35,5.820766091346741e-11,0.01599147150628976,0.010340683606660022,0.0056507878996297405,"[0.004675321905383736, 0.0067096443824619925]",-0.5464617345017974,"[-0.6965925516769199, -0.4221784318879304]",1.8358606073623218,0,35,0,35,5.820766091346741e-11
encoder_1,12,0.13791047270317253,0.10283570412960415,0.035074768573568414,"[0.03437959550471289, 0.03571451922252792]",-0.34107578559839047,"[-0.3532775160164252, -0.32923308788069416]",17.03914762435974,0,35,0,35,5.820766091346741e-11,0.1662474648944487,0.11493890503106259,0.051308559863386144,"[0.05038324146035081, 0.05220967649458117]",-0.44639854407452206,"[-0.46224715017227397, -0.43118643712670673]",17.98454353984552,0,35,0,35,5.820766091346741e-11,0.06770204596445076,-0.009418799359098078,0.07712084532354883,"[0.07536706810431491, 0.07891169602253752]",8.187969865719037,"[7.584334956070359, 8.937879821596653]",14.033760821780401,0,35,0,35,5.820766091346741e-11,-0.030084869561529386,0.013861319336147288,-0.04394618889767668,"[-0.04499685901837112, -0.0428772771078016]",3.1704189068838944,"[3.0561198943818555, 3.288917343443836]",-13.57935665419267,35,0,0,35,5.820766091346741e-11
encoder_2,12,0.049114994394468314,0.04201360769445936,0.007101386700008951,"[0.006646947525433281, 0.007551927267464142]",-0.16902587256141458,"[-0.17629218422152115, -0.1611788999296497]",5.153164270090105,0,35,0,35,5.820766091346741e-11,0.052128545610398765,0.0437537212372449,0.008374824373153867,"[0.007799842661305888, 0.00895608688990193]",-0.1914082765153443,"[-0.19997429842613698, -0.18203945320803627]",4.675887646160008,0,35,0,35,5.820766091346741e-11,0.011073067906093359,-3.3697536251342256e-06,0.011076437659718491,"[0.010193030889955075, 0.012005062786360434]",3287.017061752487,"[-578.7354506333768, 553.0609390460501]",3.934754928564709,0,35,0,35,5.820766091346741e-11,-0.007320838745580469,0.0010012201925013427,-0.008322058938081812,"[-0.009040593557659495, -0.007610953485856101]",8.31191679953124,"[5.781571369667031, 16.433684834455768]",-3.795235099375238,35,0,0,35,5.820766091346741e-11
encoder_3,12,0.086579114466971,0.0744458971379341,0.012133217329036881,"[0.010650673104972254, 0.013588475163242932]",-0.16298033599563386,"[-0.17462905633719247, -0.15070265694950702]",2.7420974105542886,0,35,0,35,5.820766091346741e-11,0.09637715469701039,0.07968319950546009,0.016693955191550307,"[0.014434388134454442, 0.018932663054679107]",-0.20950407733572984,"[-0.22528445414341297, -0.19206870800245068]",2.3984242286335986,0,35,0,35,5.820766091346741e-11,0.012851750123075545,-0.00711493355934479,0.019966683682420334,"[0.016854023300886145, 0.023198013073755814]",2.8063064139504146,"[2.378756033475601, 3.332817819357832]",2.0312254960938483,0,35,0,35,5.820766091346741e-11,-0.0028200682890261366,0.009934385519602578,-0.012754453808628713,"[-0.014588669374384623, -0.010921974622549681]",1.2838694233741548,"[1.164345712709812, 1.4026186116654458]",-2.2726227134544286,35,0,0,35,5.820766091346741e-11
stem,3,0.13771807585691348,0.10573792957571804,0.03198014628119546,"[0.031162580934347938, 0.03273634747590586]",-0.3024472524619912,"[-0.31152338747512565, -0.2926267675746032]",13.399791068535277,0,35,0,35,5.820766091346741e-11,0.14472203559474162,0.10725343594148598,0.037468599653255635,"[0.03628107084743546, 0.038711826945867216]",-0.3493463806017114,"[-0.35891119042512887, -0.33859824633907964]",10.10435136658143,0,35,0,35,5.820766091346741e-11,0.06597024676244882,0.0061481498113307815,0.05982209695111803,"[0.057753504552649236, 0.06191195893573481]",-9.730097474343978,"[-12.25522220497272, -8.011372669400117]",9.420903112558511,0,35,0,35,5.820766091346741e-11,-0.029591122985826734,-0.0014793088058105643,-0.028111814180016167,"[-0.028753292105989547, -0.027488860235911697]",-19.003344041214397,"[-60.2694180023842, -10.820361099894495]",-14.520579145172686,35,0,0,35,5.820766091346741e-11
