source_id,qad_qif_disagreement,ste_qif_disagreement,qif_repair,qad_feature_normalized_mse,ste_feature_normalized_mse,feature_repair,fp_miou,qad_miou,ste_miou,qad_minus_ste_miou
000061,0.12875169335311495,0.11241663691907053,-0.016335056434044426,0.6583957011549009,0.9412785606094562,0.2828828594545554,0.7639076668848609,0.6631072698685764,0.6204342612955279,0.042673008573048454
000161,0.12923460417918667,0.11229256090369592,-0.016942043275490745,0.6299474770892418,0.9124164027427982,0.2824689256535564,0.7837202847755775,0.7025424381235533,0.6571761565959741,0.045366281527579266
000261,0.13067197215544876,0.11334065271935095,-0.01733131943609781,0.6705810733104479,0.9405173873630654,0.26993631405261753,0.69491100917854,0.6178951259538729,0.5676902295928165,0.050204896361056406
000361,0.1301659367675781,0.11392268936548479,-0.016243247402093305,0.6349661678960288,0.9581622018625167,0.3231960339664879,0.7045849601563962,0.6635661209586614,0.6101453709929636,0.05342074996569779
001261,0.1300069789475661,0.1142483300092648,-0.015758648938301298,0.6614701490041205,0.9299265562539816,0.2684564072498611,0.6976170353486172,0.5661282781696785,0.5149059076559013,0.051222370513777205
001361,0.1267939439039964,0.11155913174829728,-0.01523481215569912,0.6383154700780901,0.9206881920516263,0.28237272197353624,0.7459125620583706,0.6537492886594093,0.6007975619675393,0.05295172669186998
001461,0.12954513330704126,0.11233422635591947,-0.01721090695112179,0.6644662227710835,0.9265870409587212,0.26212081818763777,0.5985429101385007,0.5472723704016252,0.5201782601877258,0.027094110213899403
001561,0.1309260408716447,0.11551510988832128,-0.015410930983323412,0.6411911423412637,0.9114294896979297,0.27023834735666596,0.6856764276581119,0.5427625860396553,0.4958683974608573,0.04689418857879801
0119_3img2031,0.1252751703317413,0.10861784343106863,-0.01665732690067266,0.7471251764602482,1.0149594723247397,0.2678342958644915,0.48648555856582937,0.3999110763381883,0.40284906313969654,-0.002937986801508252
0119_4img1001,0.12142367220447457,0.1065558029426029,-0.014867869261871669,0.7595045846190452,1.1388891232179887,0.3793845385989435,0.4473601838741917,0.4010075342768343,0.3299199036356089,0.07108763064122536
0119_4img3041,0.11413777646207617,0.09863442984432987,-0.0155033466177463,0.8245007718441645,1.1464853108381676,0.32198453899400314,0.343230995721624,0.34053053402125594,0.26726532751570076,0.07326520650555518
0119_5img3001,0.12090521116022475,0.10416855552436531,-0.016736655635859438,0.7799744034084307,1.1479230761380554,0.3679486727296247,0.4842299540363682,0.41464498103030484,0.44371436031581735,-0.02906937928551251
DJI_0031,0.1166269456459282,0.1021223739750518,-0.01450457167087639,0.6942554652754099,1.1025856489314958,0.40833018365608587,0.5719968418939256,0.46819393707683776,0.4129428191351421,0.05525111794169568
DJI_00528,0.11680360357116495,0.10319162516228972,-0.013611978408875236,0.7470983785682139,1.0772788237610722,0.3301804451928583,0.6398287063077114,0.5132288892397775,0.521531383892071,-0.00830249465229349
DJI_00581,0.1230875807824474,0.10693026328968457,-0.016157317492762835,0.7045429816928871,1.0108197747671477,0.3062767930742606,0.5961738997911926,0.4616489107463458,0.4052736398771468,0.05637527086919897
DJI_00591,0.11859900132505241,0.10121027172140838,-0.01738872960364403,0.7405634769842272,1.116791680620785,0.37622820363655773,0.5398070880272422,0.44164393963148885,0.4327266512466667,0.008917288384822142
DJI_0291,0.10498944096268314,0.08988800598815248,-0.015101434974530661,0.721330726429378,1.0643121494313583,0.3429814230019803,0.5789909874714776,0.47551688060391784,0.4618541555853415,0.01366272501857635
DJI_0303,0.11273810545651237,0.09749050637504972,-0.015247599081462657,0.6699455104839886,1.001929959330574,0.3319844488465853,0.6095461681401743,0.5158261527955733,0.5113534150787152,0.004472737716858077
DJI_0316,0.10563262268972459,0.09130401371047057,-0.014328608979254018,0.6529092456674306,0.9481698609806221,0.2952606153131915,0.6789506656339807,0.6426421305212958,0.5883355128765847,0.05430661764471112
DJI_0373_heda,0.10191224105184839,0.08738845767890278,-0.014523783372945603,0.7553104696014531,1.0915338344645602,0.3362233648631071,0.4390419217929693,0.4615471080271584,0.3625566472903297,0.09899046073682871
DJI_0388,0.1063493385563518,0.09119650194069912,-0.015152836615652684,0.7031920735573517,1.128857766748977,0.4256656931916253,0.6210234411332248,0.5658854363810598,0.5600800910907218,0.005805345290338049
DJI_0397,0.11864712912370316,0.10301831828011285,-0.015628810843590316,0.6390199349396276,0.9032306538205553,0.26421071888092773,0.6307200188202523,0.600170589639358,0.5223487828669029,0.0778218067724551
DJI_0406,0.11505097193573623,0.0991483698071049,-0.01590260212863133,0.6473197687570978,0.9036856777083795,0.25636590895128164,0.606049009163665,0.5626864052152943,0.5233819432847614,0.03930446193053294
DJI_0415,0.09852997296143755,0.0842478321799842,-0.014282140781453345,0.7077791545559439,1.0430159630666207,0.33523680851067683,0.49444952051900454,0.4938495896638211,0.47601096657672254,0.01783862308709855
DJI_0431,0.10207462352828436,0.08643704283997253,-0.015637580688311836,0.6645971066536235,0.9645446659303584,0.2999475592767349,0.7013309291765499,0.6817739276839175,0.6015756185150135,0.08019830916890403
DJI_0490,0.10943714528772351,0.09379865441190868,-0.01563849087581483,0.6864612135863716,1.1045769834874022,0.4181157699010306,0.7218695197820139,0.6250243195134996,0.5898210322534785,0.03520328726002109
DJI_0499_heda,0.10690196436478817,0.09361355471385797,-0.0132884096509302,0.7394416879830317,1.2319204414821658,0.49247875349913417,0.6090196160347753,0.5742209431905122,0.5325257627561685,0.041695180434343726
DJI_0511,0.1082298169976097,0.0933304431498292,-0.014899373847780492,0.6547516777054911,0.9958387035690192,0.341087025863528,0.7020634875315594,0.6415128243320808,0.5688375525682056,0.07267527176387523
DJI_0520,0.11124398151233703,0.09577541756189603,-0.015468563950440994,0.6259611834446421,0.942872846366423,0.31691166292178086,0.7435942788497144,0.6458016580588894,0.5892987617668938,0.056502896291995675
DJI_0532,0.1188935533178273,0.10279529767364626,-0.016098255644181048,0.6438736894876089,0.9290260645495086,0.2851523750618997,0.6743064682627482,0.6497953610425543,0.5289441852391189,0.1208511758034354
DJI_0539_heda,0.10741219716584127,0.09255359885967923,-0.01485859830616204,0.7285937600080539,1.1224003264627518,0.3938065664546979,0.43859307290338106,0.43403112837054225,0.442699455104145,-0.008668326733602738
DJI_0553_heda,0.10730982999961593,0.09281171373257362,-0.01449811626704231,0.6953910562726642,1.015499348579236,0.3201082923065719,0.6638106953386077,0.5796728475893881,0.5850205138539663,-0.005347666264578166
DJI_0563_heda,0.10267107491817737,0.08720185915415793,-0.01546921576401944,0.7657164716871444,1.0625559260152153,0.2968394543280709,0.473508042009486,0.3860312268864427,0.4262916717873703,-0.04026044490092762
DJI_0627,0.12150389942517045,0.10409257171436703,-0.01741132771080342,0.7472771554475105,1.0306183551254315,0.28334119967792104,0.4907526551809389,0.5267127735540191,0.47606681780800114,0.05064595574601799
DJI_0707,0.11999592681937717,0.10393142825042624,-0.016064498568950925,0.6645467319366706,0.9928261683542635,0.32827943641759294,0.5751583133492323,0.5944736575286765,0.5672794944874192,0.027194163041257324
