trial,phase,rel_time_s,wall_time_s,power_w,temperature_c,gpu_util_pct,sm_clock_mhz,mem_clock_mhz
1,idle_pre,0.0005390811711549759,1783675613.442741,136.932,35,41,2257,12481
1,idle_pre,0.10773511230945587,1783675613.5458286,136.932,35,41,2257,12481
1,idle_pre,0.208086509257555,1783675613.6461651,130.637,34,41,2257,12481
1,idle_pre,0.3083698768168688,1783675613.7464483,126.462,34,0,2265,12481
1,idle_pre,0.4086198005825281,1783675613.8467205,121.999,33,0,2265,12481
1,idle_pre,0.5088928304612637,1783675613.946971,116.919,33,0,2265,12481
1,idle_pre,0.6091416645795107,1783675614.0472178,111.297,33,0,2272,12481
1,idle_pre,0.7093838509172201,1783675614.1474633,106.591,33,0,2272,12481
1,idle_pre,0.8097338452935219,1783675614.247814,104.494,33,0,2272,12481
1,idle_pre,0.909988559782505,1783675614.348067,98.439,33,0,2272,12481
1,idle_pre,1.0103997625410557,1783675614.44848,94.294,33,0,2272,12481
1,idle_pre,1.1106885112822056,1783675614.54877,89.263,33,0,2272,12481
1,idle_pre,1.210950868204236,1783675614.6490314,89.263,33,0,2272,12481
1,idle_pre,1.3111886959522963,1783675614.7492666,89.263,33,0,2272,12481
1,idle_pre,1.4114464279264212,1783675614.8495262,89.263,33,0,2272,12481
1,idle_pre,1.5116952136158943,1783675614.949776,89.263,33,0,2272,12481
1,idle_pre,1.6119249556213617,1783675615.0500035,89.263,33,0,2272,12481
1,idle_pre,1.7121529839932919,1783675615.1502297,89.263,33,0,2272,12481
1,idle_pre,1.8123779520392418,1783675615.2504563,89.263,33,0,2272,12481
1,idle_pre,1.9125898405909538,1783675615.3506508,89.263,33,0,2272,12481
1,idle_pre,2.0128988064825535,1783675615.4509802,89.263,33,0,2272,12481
1,idle_pre,2.1131411008536816,1783675615.5512211,83.085,33,0,2272,12481
1,idle_pre,2.2133923210203648,1783675615.651474,83.085,33,0,2272,12481
1,idle_pre,2.3136241491883993,1783675615.7517018,83.085,33,0,2272,12481
1,idle_pre,2.413893148303032,1783675615.8519733,83.085,33,0,2272,12481
1,idle_pre,2.5141250509768724,1783675615.9522028,83.085,33,0,2272,12481
1,idle_pre,2.6143588572740555,1783675616.052437,83.085,33,0,2272,12481
1,idle_pre,2.7146116215735674,1783675616.1526926,83.085,33,0,2272,12481
1,idle_pre,2.8149566650390625,1783675616.253038,83.085,33,0,2272,12481
1,idle_pre,2.9152134489268064,1783675616.3532944,83.085,33,0,2272,12481
1,idle_pre,3.015477592125535,1783675616.4535565,83.085,33,0,2272,12481
1,idle_pre,3.115692935883999,1783675616.5537572,83.089,33,0,2265,12481
1,idle_pre,3.21586443297565,1783675616.6539433,83.089,33,0,2265,12481
1,idle_pre,3.3161359801888466,1783675616.754217,83.089,33,0,2265,12481
1,idle_pre,3.416414400562644,1783675616.8544955,83.089,33,0,2265,12481
1,idle_pre,3.516693629324436,1783675616.9547744,83.089,33,0,2265,12481
1,idle_pre,3.6170032043009996,1783675617.0550828,83.089,33,0,2265,12481
1,idle_pre,3.717269880697131,1783675617.1553497,83.089,33,0,2265,12481
1,idle_pre,3.817519398406148,1783675617.255601,83.089,33,0,2265,12481
1,idle_pre,3.9177499543875456,1783675617.3558288,83.089,33,0,2265,12481
1,idle_pre,4.018030021339655,1783675617.456109,83.089,33,0,2265,12481
1,idle_pre,4.118384402245283,1783675617.556463,82.554,33,0,2272,12481
1,idle_pre,4.218620209023356,1783675617.6567004,82.554,33,0,2272,12481
1,idle_pre,4.318871326744556,1783675617.7569516,82.554,33,0,2272,12481
