trial,measure_images,active_wall_s,active_cuda_s,active_window_start_s,active_window_end_s,gross_energy_j,integrated_power_energy_j,energy_source,idle_pre_s,idle_post_s,idle_baseline_w,gross_j_per_image,net_energy_j,net_j_per_image,images_per_second,active_sample_count,idle_pre_sample_count,idle_post_sample_count
1,5000,47.09643175639212,47.10234375,0.0006869137287139893,47.1016945540905,6641.34299993515,6612.868956309632,nvml_total_energy_counter,10.000218963250518,10.000206356868148,83.27346,1.32826859998703,2719.4601739265013,0.5438920347853002,106.16515548062469,470,100,100
2,5000,46.974492656067014,46.97986328125,0.00041415169835090637,46.97927911579609,6666.183000087738,6615.98801273604,nvml_total_energy_counter,10.000196559354663,10.000263635069132,83.58106,1.3332366000175475,2740.005110931442,0.5480010221862883,106.44074512115508,469,100,100
3,5000,47.36620354838669,47.3711875,0.0006670206785202026,47.371267795562744,6694.554999828339,6675.621590376051,nvml_total_energy_counter,10.000225657597184,10.000232771039009,84.0067,1.3389109999656676,2715.4765482000826,0.5430953096400165,105.56049726240518,473,100,100
4,5000,46.83990775234997,46.84449609375,0.0006661079823970795,46.8470738530159,6645.637000083923,6653.954348060386,nvml_total_energy_counter,10.000228360295296,10.000197568908334,84.0743,1.3291274000167848,2707.6045437405264,0.5415209087481053,106.74658085228933,468,100,100
5,5000,46.004951467737556,46.00914453125,0.0006214473396539688,46.011048359796405,6587.622000217438,6551.9656870594345,nvml_total_energy_counter,10.000224130228162,10.000238321721554,83.82299,1.3175244000434876,2731.349413386787,0.5462698826773574,108.68395336763717,460,100,100
