model,miou,pixel_accuracy,iou_background,iou_facade,iou_road,iou_vegetation,iou_vehicle,iou_roof
FP32 ONNX,0.6785041419974572,0.8421053749410238,0.5443555942212024,0.6303821859325275,0.6392677832511986,0.8895065953945921,0.5442900755651096,0.8232226176201134
W8A8 QDQ ONNX,0.658348816657972,0.8284584925690022,0.522476736470079,0.6005692860203233,0.6136984738609368,0.8756857642497136,0.5268690905239967,0.8107935488227823
